uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
100212,4281,701316,TEN,7,KOFF,3,1,46,25,5,5,1,2,1,11,2,59,3,3,5,0,75,TD
100213,4281,701324,DET,8,KOFF,4,4,19,25,7,4,1,1,0,13,2,20,5,3,0,5,33,PUNT
100214,4281,701333,TEN,8,PUNT,4,1,55,9,4,0,0,0,1,3,1,3,3,1,8,0,14,PUNT
100215,4281,701339,DET,9,PUNT,4,1,36,36,3,1,0,0,0,-2,1,8,2,1,0,0,6,PUNT
100216,4281,701343,TEN,9,PUNT,4,5,51,17,14,9,1,5,0,19,4,74,9,9,0,10,83,TD
100217,4281,701359,DET,10,KOFF,4,0,55,25,6,1,0,1,0,0,0,20,6,2,0,0,20,INT
100218,4281,701365,TEN,10,INT,4,0,18,53,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
100219,4282,701367,LA,1,KOFF,1,4,22,25,9,5,0,2,1,-1,1,40,7,5,15,0,54,FG
100220,4282,701378,SEA,1,KOFF,1,1,45,25,3,0,0,0,0,-11,2,7,1,1,0,0,-4,PUNT
100221,4282,701382,LA,2,PUNT,1,2,0,39,3,1,0,0,0,8,1,7,2,1,0,10,5,PUNT
100222,4282,701387,SEA,2,PUNT,1,7,8,19,14,5,2,3,1,5,5,66,8,6,25,20,76,FG
100223,4282,701406,LA,3,KOFF,2,1,2,25,3,0,0,0,0,4,1,0,2,0,0,0,4,PUNT
100224,4282,701410,SEA,3,PUNT,2,3,20,19,5,2,0,1,0,16,3,8,2,1,0,10,14,PUNT
100225,4282,701417,LA,4,PUNT,2,1,28,38,3,0,0,0,0,3,1,6,2,1,0,0,9,PUNT
100226,4282,701421,SEA,4,PUNT,2,4,36,12,8,2,0,1,1,4,4,16,4,2,18,0,38,PUNT
100227,4282,701432,LA,5,PUNT,2,3,15,20,9,4,1,2,0,9,3,61,5,3,0,0,70,FG
100228,4282,701442,SEA,5,KOFF,2,1,4,14,7,4,0,3,0,0,0,36,7,4,0,0,36,ENDQ
100229,4282,701450,SEA,6,KOFF,3,4,8,25,6,3,1,0,0,27,4,-2,2,1,0,0,25,PUNT
100230,4282,701457,LA,6,PUNT,3,4,32,5,8,3,1,1,0,19,5,26,3,1,0,0,45,PUNT
100231,4282,701466,SEA,7,PUNT,3,2,42,10,5,2,2,0,0,26,4,0,1,0,0,0,26,PUNT
100232,4282,701472,LA,7,PUNT,3,4,28,13,9,5,0,3,0,10,4,53,4,3,0,5,58,FG
100233,4282,701483,SEA,8,KOFF,4,1,29,25,3,0,0,0,0,2,1,2,2,1,0,0,4,PUNT
100234,4282,701487,LA,8,PUNT,4,3,27,32,5,1,1,0,1,11,1,-8,4,1,24,5,27,PUNT
100235,4282,701495,SEA,9,PUNT,4,2,43,9,7,3,0,2,0,-2,1,42,6,3,0,10,30,PUNT
100236,4282,701504,LA,9,PUNT,4,4,38,11,10,3,0,2,1,3,6,34,4,3,15,5,47,PUNT
100237,4282,701517,SEA,10,PUNT,4,1,8,12,4,1,0,2,0,0,0,64,4,3,0,5,59,FUM
100238,4282,701522,LA,10,FUM,4,0,45,29,2,0,1,0,2,-2,2,0,0,0,15,0,13,ENDQ
100239,4283,701525,ARI,1,KOFF,1,1,50,25,5,2,0,1,0,0,1,11,4,2,0,0,11,PUNT
100240,4283,701531,TB,1,PUNT,1,2,42,17,6,5,2,1,0,19,3,15,3,2,0,0,34,INT
100241,4283,701537,ARI,2,INT,1,1,39,25,5,2,1,0,0,18,2,0,3,0,0,0,18,PUNT
100242,4283,701543,TB,2,PUNT,1,3,43,7,8,2,0,2,0,3,3,26,5,2,0,0,29,PUNT
100243,4283,701552,ARI,3,PUNT,1,5,12,33,11,6,0,4,1,7,5,56,6,5,4,0,67,TD
100244,4283,701566,TB,3,KOFF,2,0,49,25,2,0,0,0,0,1,1,0,1,0,0,0,1,INT
100245,4283,701568,ARI,4,INT,2,2,21,81,6,2,1,0,0,14,3,0,2,0,0,0,14,FG
100246,4283,701575,TB,4,KOFF,2,4,13,25,7,1,0,1,1,2,2,15,5,4,15,0,32,PUNT
100247,4283,701584,ARI,5,PUNT,2,2,8,9,3,0,0,0,0,5,2,4,1,1,0,0,9,PUNT
100248,4283,701588,TB,5,PUNT,2,2,17,49,5,2,0,2,0,1,1,18,4,3,0,0,19,FUM
100249,4283,701593,ARI,6,FUM,2,1,36,32,8,4,0,4,1,0,0,68,8,4,0,0,68,TD
100250,4283,701603,TB,6,KOFF,2,0,25,25,3,0,0,0,0,0,0,0,3,0,0,0,0,PUNT
100251,4283,701607,ARI,7,PUNT,2,0,45,26,4,4,0,2,0,10,1,74,3,3,0,10,74,TD
100252,4283,701614,TB,7,KOFF,2,0,20,13,3,0,0,0,0,1,2,-9,1,0,5,0,-3,ENDQ
100253,4283,701618,TB,8,KOFF,3,4,59,25,11,8,1,4,0,9,3,76,8,6,0,10,75,TD
100254,4283,701632,ARI,8,KOFF,3,2,5,25,5,1,0,1,0,-1,1,54,3,1,0,0,53,FG
100255,4283,701638,TB,9,KOFF,3,2,53,25,6,4,0,2,0,7,1,37,5,3,0,10,34,INT
100256,4283,701647,TB,10,KOFF,3,3,5,25,8,5,2,0,0,38,3,11,4,2,0,0,49,MFG
100257,4283,701655,ARI,9,MFG,3,4,47,35,8,6,2,2,0,28,6,37,2,2,0,0,65,TD
100258,4283,701665,TB,11,KOFF,4,2,29,25,5,1,0,1,0,4,2,12,3,1,0,0,16,PUNT
100259,4283,701671,ARI,10,PUNT,4,1,0,20,3,1,0,0,0,3,1,0,2,0,0,0,3,PUNT
100260,4283,701675,TB,12,PUNT,4,1,7,21,5,1,0,1,0,0,0,11,5,1,0,0,11,PUNT
100261,4283,701681,ARI,11,PUNT,4,3,47,18,6,2,0,1,0,11,4,11,2,1,0,0,22,PUNT
100262,4283,701688,TB,13,PUNT,4,0,51,19,4,1,0,1,0,0,0,13,4,2,0,0,13,PUNT
100263,4283,701693,ARI,12,PUNT,4,1,53,16,3,0,0,0,0,6,3,0,0,0,0,0,6,PUNT
100264,4283,701697,TB,14,PUNT,4,1,4,59,4,1,0,0,0,0,0,-4,4,1,0,5,-9,INT
100265,4284,701703,ATL,1,KOFF,1,4,21,25,9,6,2,0,1,24,4,16,5,2,5,5,40,PUNT
100266,4284,701715,OAK,1,PUNT,1,3,23,6,5,3,1,0,0,13,2,10,3,3,0,0,23,PUNT
100267,4284,701721,ATL,2,PUNT,1,2,58,4,6,2,0,1,0,6,3,11,3,1,0,0,17,PUNT
100268,4284,701728,OAK,2,PUNT,1,2,25,36,5,1,0,0,1,5,2,5,3,1,5,0,15,PUNT
100269,4284,701735,ATL,3,PUNT,1,4,55,9,11,7,1,4,0,29,5,59,5,5,0,0,88,FG
100270,4284,701747,OAK,3,KOFF,2,4,7,9,7,5,1,3,0,7,3,48,4,4,36,0,91,TD
100271,4284,701757,ATL,4,KOFF,2,3,5,25,10,6,1,4,0,12,3,63,7,4,0,0,75,TD
100272,4284,701769,OAK,4,KOFF,2,3,13,2,5,3,1,0,0,26,1,18,4,3,0,10,34,PUNT
100273,4284,701776,ATL,5,PUNT,2,0,55,91,4,0,0,0,0,6,2,1,1,1,0,0,7,FG
100274,4284,701781,OAK,5,KOFF,2,0,38,25,8,6,0,3,0,0,0,35,7,6,0,0,35,MFG
100275,4284,701790,OAK,6,KOFF,3,3,43,19,8,6,2,2,1,28,4,53,4,3,5,5,81,TD
100276,4284,701802,ATL,6,KOFF,3,1,49,25,4,2,1,1,0,20,2,44,2,1,0,0,64,INT
100277,4284,701806,OAK,7,INT,3,3,52,20,6,2,0,1,0,6,2,22,4,3,0,15,13,PUNT
100278,4284,701815,ATL,7,PUNT,3,1,54,15,6,6,1,3,0,4,1,81,4,4,0,0,85,TD
100279,4284,701822,OAK,8,KOFF,3,6,42,25,13,8,3,2,0,58,7,17,6,4,0,0,75,TD
100280,4284,701837,ATL,8,KOFF,4,2,31,25,6,4,1,2,0,14,2,66,4,4,0,5,75,TD
100281,4284,701845,OAK,9,KOFF,4,2,17,25,6,1,0,0,1,12,4,0,2,0,13,0,25,DWNS
100282,4284,701852,ATL,9,DWNS,4,2,37,50,5,4,1,2,0,20,3,25,2,2,5,0,50,TD
100283,4284,701860,OAK,10,KOFF,4,2,23,25,8,6,0,6,0,0,0,75,8,6,0,0,75,TD
100284,4284,701870,ATL,10,KOFF,4,2,10,13,6,2,0,1,0,4,4,23,2,2,0,0,27,PUNT
100285,4284,701877,OAK,11,PUNT,4,0,2,20,1,1,0,1,0,0,0,17,1,1,0,0,17,ENDQ
100286,4285,701879,DEN,1,KOFF,1,3,19,25,7,4,0,2,0,8,2,31,4,3,0,0,39,MFG
100287,4285,701886,IND,1,MFG,1,3,24,44,7,4,0,1,0,9,3,17,3,2,0,0,26,FG
100288,4285,701894,DEN,2,KOFF,1,2,47,25,7,3,0,2,0,7,2,63,4,2,0,0,70,FG
100289,4285,701902,IND,2,KOFF,1,1,6,25,3,0,0,0,0,3,1,0,2,0,0,0,3,PUNT
100290,4285,701906,DEN,3,PUNT,1,2,53,20,5,3,1,0,0,18,3,5,2,1,0,0,23,PUNT
100291,4285,701912,IND,3,PUNT,1,1,31,12,5,1,0,1,0,2,1,16,4,1,0,0,18,PUNT
100292,4285,701918,DEN,4,PUNT,2,3,19,31,6,6,3,1,1,24,4,29,2,2,16,0,69,TD
100293,4285,701927,IND,4,KOFF,2,1,47,25,3,1,0,0,0,8,1,-3,2,0,0,0,5,PUNT
100294,4285,701931,DEN,5,PUNT,2,3,35,31,8,3,0,3,0,5,2,44,6,4,0,0,49,INT
100295,4285,701939,IND,5,INT,2,3,36,45,9,3,1,1,0,8,2,13,6,2,0,0,21,FG
100296,4285,701949,DEN,6,KOFF,2,2,38,25,11,7,1,2,0,17,2,43,8,5,0,10,50,FG
100297,4285,701962,IND,6,KOFF,2,0,5,25,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
100298,4285,701964,IND,7,KOFF,3,6,54,21,13,6,2,2,1,42,8,33,5,2,14,10,79,TD
100299,4285,701983,DEN,7,KOFF,3,6,57,25,13,7,2,1,1,35,9,16,3,2,9,0,60,FG
100300,4285,701998,IND,8,KOFF,3,2,17,28,5,1,0,0,1,7,2,0,3,1,5,5,7,INT
100301,4285,702007,IND,9,KOFF,4,1,20,25,3,1,0,0,0,0,0,9,3,2,0,0,9,PUNT
100302,4285,702011,DEN,8,PUNT,4,3,2,16,5,1,0,0,1,7,3,6,2,1,18,0,31,PUNT
100303,4285,702018,IND,10,PUNT,4,5,28,20,12,8,1,4,0,5,2,65,10,7,15,5,80,TD
100304,4285,702033,DEN,9,KOFF,4,2,11,25,8,3,0,2,0,13,4,29,3,2,21,5,58,FG
100305,4285,702044,IND,11,KOFF,4,0,9,25,1,0,0,1,0,0,0,-10,1,0,0,0,-10,FUM
100306,4285,702047,IND,12,KOFF,4,1,42,25,6,3,0,2,0,0,0,30,6,4,5,10,25,ENDQ
100307,4286,702056,SD,1,KOFF,1,4,46,25,8,6,4,1,0,58,6,17,2,2,0,0,75,TD
100308,4286,702066,JAC,1,KOFF,1,2,10,19,3,0,0,0,0,-1,1,11,2,2,0,5,5,PUNT
100309,4286,702071,SD,2,PUNT,1,3,0,33,5,3,1,0,0,4,3,9,2,1,0,0,13,PUNT
100310,4286,702077,JAC,2,PUNT,1,1,36,14,3,1,0,0,0,6,2,0,1,0,0,0,6,INT
100311,4286,702080,SD,3,INT,1,3,34,66,7,4,0,3,0,5,3,29,4,4,0,0,34,TD
100312,4286,702089,JAC,3,KOFF,2,2,49,25,6,3,1,1,0,15,1,24,4,3,0,0,39,MFG
100313,4286,702095,SD,4,MFG,2,2,11,44,5,2,0,2,1,2,1,52,4,3,2,0,56,TD
100314,4286,702103,JAC,4,KOFF,2,1,5,25,3,0,0,1,0,0,0,3,3,1,0,10,-7,FUM
100315,4286,702107,SD,5,FUM,2,3,36,82,6,3,1,1,1,13,3,3,3,1,0,4,12,FUM
100316,4286,702116,JAC,5,FUM,2,2,27,6,5,4,1,1,1,5,1,36,4,3,14,0,55,INT
100317,4286,702122,SD,6,INT,2,1,55,31,3,0,0,0,0,1,1,-3,2,1,0,0,-2,PUNT
100318,4286,702126,JAC,6,PUNT,2,0,51,8,5,3,0,2,0,0,0,44,5,4,0,0,44,ENDQ
100319,4286,702132,JAC,7,KOFF,3,2,33,24,3,0,0,0,0,3,2,8,1,1,0,10,1,PUNT
100320,4286,702137,SD,7,PUNT,3,1,33,45,3,1,0,1,0,-2,2,44,1,1,13,0,55,TD
100321,4286,702143,JAC,8,KOFF,3,1,15,25,4,1,0,1,0,0,0,17,4,1,0,5,12,PUNT
100322,4286,702149,SD,8,PUNT,3,1,47,19,4,1,1,0,0,19,1,-5,3,1,0,0,14,PUNT
100323,4286,702154,JAC,9,PUNT,3,0,46,28,4,1,0,1,0,0,0,24,4,1,0,0,24,PUNT
100324,4286,702159,SD,9,PUNT,3,4,18,7,7,5,2,1,1,28,5,45,2,1,20,0,93,TD
100325,4286,702169,JAC,10,KOFF,3,4,56,25,12,7,2,3,0,27,2,48,10,7,0,0,75,TD
100326,4286,702183,SD,10,KOFF,4,5,52,57,11,5,1,2,0,15,6,16,4,2,5,0,36,FG
100327,4286,702196,JAC,11,KOFF,4,2,12,25,7,4,1,1,0,7,1,51,6,3,0,0,58,DWNS
100328,4286,702203,SD,11,DWNS,4,1,14,17,3,2,0,0,0,8,2,0,1,0,0,5,3,PUNT
100329,4286,702208,JAC,12,PUNT,4,2,31,40,9,5,1,3,0,7,1,53,8,5,0,0,60,TD
100330,4286,702219,SD,12,KOFF,4,1,3,57,2,0,0,0,0,-1,2,0,0,0,0,0,-1,ENDQ
100331,4287,702222,MIN,1,KOFF,1,2,49,25,6,1,0,1,0,2,2,15,4,2,0,0,17,PUNT
100332,4287,702229,GB,1,PUNT,1,1,7,10,4,1,0,1,0,5,1,3,3,1,0,0,5,PUNT
100333,4287,702234,MIN,2,PUNT,1,2,17,47,3,0,0,0,0,0,0,4,3,2,0,0,4,PUNT
100334,4287,702238,GB,2,PUNT,1,3,8,48,5,4,0,1,1,5,3,6,2,2,41,0,52,TD
100335,4287,702247,MIN,3,KOFF,1,3,8,23,5,1,0,1,0,-1,2,26,3,2,0,5,20,PUNT
100336,4287,702254,GB,3,PUNT,1,2,31,10,5,2,0,1,0,2,1,0,4,2,0,0,2,PUNT
100337,4287,702260,MIN,4,PUNT,2,4,46,46,10,5,0,4,0,-4,1,68,9,7,0,10,54,TD
100338,4287,702274,GB,4,KOFF,2,1,40,25,3,0,0,0,0,6,2,0,1,0,0,0,6,PUNT
100339,4287,702278,MIN,5,PUNT,2,1,36,34,3,1,0,0,0,4,1,-7,2,0,0,0,-3,PUNT
100340,4287,702282,GB,5,PUNT,2,2,17,24,6,2,0,1,0,1,1,28,5,2,0,0,29,PUNT
100341,4287,702289,MIN,6,PUNT,2,4,14,13,8,4,1,1,0,11,3,53,4,3,0,5,59,FG
100342,4287,702299,GB,6,KOFF,2,0,27,25,1,1,0,0,0,0,0,9,1,1,5,10,4,ENDQ
100343,4287,702303,GB,7,KOFF,3,1,58,24,3,1,0,0,0,9,1,10,2,1,0,10,9,PUNT
100344,4287,702308,MIN,7,PUNT,3,2,28,23,4,2,0,1,0,-2,1,13,3,2,15,0,26,PUNT
100345,4287,702313,GB,8,PUNT,3,5,37,14,10,4,2,1,0,19,5,26,5,3,18,0,73,DWNS
100346,4287,702325,MIN,8,DWNS,3,2,46,13,6,5,0,3,0,11,3,76,3,3,0,0,87,TD
100347,4287,702333,GB,9,KOFF,3,4,30,25,10,3,1,2,1,12,5,45,5,2,28,25,75,TD
100348,4287,702346,MIN,9,KOFF,4,2,9,44,3,0,0,0,0,-2,2,15,1,1,0,15,-2,PUNT
100349,4287,702350,GB,10,PUNT,4,3,39,15,8,4,1,3,0,14,3,27,5,3,0,0,41,FUM
100350,4287,702358,MIN,10,FUM,4,2,15,44,4,1,1,0,1,11,2,-9,2,0,0,5,2,PUNT
100351,4287,702364,GB,11,PUNT,4,2,48,9,9,3,1,2,0,10,1,26,8,3,0,0,36,INT
100352,4287,702373,MIN,11,INT,4,1,50,45,6,1,0,0,1,0,5,0,1,0,12,5,7,DWNS
100353,4288,702382,CHI,1,KOFF,1,1,23,24,3,0,0,0,0,0,1,-10,2,0,0,0,-10,PUNT
100354,4288,702386,PHI,1,PUNT,1,7,26,46,13,5,0,3,0,5,2,42,10,8,0,0,47,FG
100355,4288,702400,CHI,2,KOFF,1,4,10,25,8,3,0,3,0,2,1,70,6,5,0,10,62,MFG
100356,4288,702409,PHI,2,MFG,1,2,1,21,3,1,0,0,0,7,1,4,2,1,0,10,1,PUNT
100357,4288,702414,CHI,3,PUNT,2,3,44,35,6,4,2,1,0,4,4,57,2,2,4,0,65,TD
100358,4288,702423,PHI,3,KOFF,2,1,59,26,3,0,0,0,0,0,2,0,1,0,0,10,-10,PUNT
100359,4288,702428,CHI,4,PUNT,2,1,39,52,3,1,0,0,0,0,0,8,3,1,0,0,8,PUNT
100360,4288,702432,PHI,4,PUNT,2,5,11,12,11,4,0,3,0,9,5,54,5,3,14,0,77,FG
100361,4288,702444,CHI,5,KOFF,2,0,49,14,3,1,0,0,0,4,1,9,2,2,0,5,8,PUNT
100362,4288,702449,PHI,5,PUNT,2,1,38,27,8,3,0,2,0,0,0,38,7,3,0,0,38,FG
100363,4288,702459,PHI,6,KOFF,3,2,16,26,3,0,0,0,0,2,1,-7,2,0,0,5,-10,PUNT
100364,4288,702464,CHI,6,PUNT,3,1,58,29,4,3,1,2,0,16,1,8,3,2,0,0,24,FUM
100365,4288,702468,PHI,7,FUM,3,1,10,47,3,0,0,0,1,7,1,0,2,0,0,0,7,PUNT
100366,4288,702472,CHI,7,PUNT,3,4,12,11,8,6,2,0,0,35,7,0,1,0,0,0,35,PUNT
100367,4288,702481,PHI,8,PUNT,3,4,31,32,8,8,3,2,0,27,5,41,3,3,0,0,68,TD
100368,4288,702491,CHI,8,KOFF,3,0,17,24,1,0,0,0,0,0,0,0,1,0,0,0,0,INT
100369,4288,702492,PHI,9,INT,3,0,4,98,1,1,0,1,0,0,0,2,1,1,0,0,2,TD
100370,4288,702495,CHI,9,KOFF,3,1,51,25,5,3,1,2,0,-1,2,22,3,3,0,0,21,FUM
100371,4288,702500,PHI,10,FUM,4,3,5,54,6,3,3,0,1,45,5,0,1,0,1,0,46,TD
100372,4288,702509,CHI,10,KOFF,4,3,49,21,10,7,1,2,0,4,1,56,9,6,0,0,60,DWNS
100373,4288,702519,PHI,11,DWNS,4,1,39,19,3,0,0,0,0,-1,2,-1,1,1,0,5,-7,PUNT
100374,4288,702526,PHI,12,PUNT,4,5,8,49,9,3,2,1,1,-1,8,7,1,1,20,0,26,ENDQ
100375,4289,702537,HOU,1,KOFF,1,2,44,25,6,2,0,1,0,9,3,3,3,1,0,0,12,PUNT
100376,4289,702544,NE,1,PUNT,1,1,20,31,3,1,0,0,0,0,1,6,2,1,0,0,6,PUNT
100377,4289,702548,HOU,2,PUNT,1,3,57,11,7,3,1,1,0,18,5,18,2,1,0,0,36,PUNT
100378,4289,702556,NE,2,PUNT,1,4,58,20,10,7,1,1,1,25,5,37,4,3,12,0,74,FG
100379,4289,702568,NE,3,KOFF,1,0,7,78,1,1,1,0,0,27,1,0,0,0,0,5,22,TD
100380,4289,702572,HOU,3,KOFF,1,3,14,25,7,2,1,1,0,4,3,21,4,2,0,5,20,INT
100381,4289,702580,NE,4,INT,2,1,58,57,3,0,0,0,0,3,2,-6,1,0,0,0,-3,PUNT
100382,4289,702584,HOU,4,PUNT,2,3,27,10,7,3,1,1,0,7,3,21,4,2,0,0,28,PUNT
100383,4289,702592,NE,5,PUNT,2,3,22,18,6,2,0,1,0,9,4,16,2,1,0,5,20,PUNT
100384,4289,702600,HOU,5,PUNT,2,3,36,10,7,6,2,1,0,14,3,26,4,4,0,0,40,PUNT
100385,4289,702608,NE,6,PUNT,2,1,17,14,5,3,1,0,0,18,5,0,0,0,0,0,18,ENDQ
100386,4289,702614,NE,7,KOFF,3,6,48,22,13,8,2,2,0,38,8,33,4,3,0,0,71,FG
100387,4289,702628,NE,8,KOFF,3,2,31,79,6,3,2,0,0,8,4,6,2,1,7,0,21,TD
100388,4289,702638,HOU,6,KOFF,3,0,50,23,4,1,0,1,0,0,0,16,4,1,0,0,16,PUNT
100389,4289,702643,NE,9,PUNT,3,1,24,16,3,1,0,0,0,4,1,3,2,1,0,0,7,PUNT
100390,4289,702647,HOU,7,PUNT,3,4,15,20,9,6,1,2,0,3,2,41,7,6,0,0,44,DWNS
100391,4289,702656,NE,10,DWNS,4,0,45,36,3,0,0,0,0,1,1,0,2,0,0,0,1,PUNT
100392,4289,702660,HOU,8,PUNT,4,1,47,14,3,0,0,0,0,11,2,-10,1,0,0,4,-3,PUNT
100393,4289,702664,NE,11,PUNT,4,0,40,53,2,2,1,0,0,47,2,0,0,0,0,0,47,TD
100394,4289,702668,HOU,9,KOFF,4,2,41,25,7,4,1,0,0,15,2,15,5,3,0,0,30,DWNS
100395,4289,702675,NE,12,DWNS,4,1,38,46,3,0,0,0,0,0,2,2,1,1,0,0,2,PUNT
100396,4289,702679,HOU,10,PUNT,4,3,30,5,11,4,1,2,0,16,2,24,9,4,0,0,40,DWNS
100397,4289,702690,NE,13,DWNS,4,2,3,56,3,0,0,0,0,5,3,0,0,0,0,5,5,PUNT
100398,4289,702695,HOU,11,PUNT,4,1,8,4,2,1,0,0,0,12,2,0,0,0,0,0,12,ENDQ
