pid,fgxp,fkicker,dist,good
697198,XP,GG-0100,33,1
697220,XP,BM-1650,33,1
697241,XP,GG-0100,33,1
697254,FG,GG-0100,44,1
697291,XP,BM-1650,33,1
697305,XP,BM-1650,33,1
697316,FG,GG-0100,36,1
697336,FG,GG-0100,50,0
697371,FG,JT-3950,50,1
697387,XP,JT-3950,33,1
697402,XP,DC-0500,33,1
697424,FG,DC-0500,49,0
697468,FG,JT-3950,37,1
697501,XP,CB-0700,33,1
697527,FG,NN-0200,28,1
697546,XP,NN-0200,33,1
697561,XP,CB-0700,33,1
697572,FG,NN-0200,28,1
697608,XP,NN-0200,33,1
697623,FG,NN-0200,38,1
697662,XP,NF-0300,33,1
697675,FG,NF-0300,22,0
697681,FG,MN-0800,33,1
697694,XP,MN-0800,33,1
697702,XP,NF-0300,33,0
697716,FG,NF-0300,45,1
697730,FG,MN-0800,21,1
697758,XP,MN-0800,33,1
697771,FG,NF-0300,20,1
697778,FG,MN-0800,52,0
697788,FG,NF-0300,23,1
697798,FG,MN-0800,47,1
697815,XP,CS-4250,33,1
697838,FG,CS-4250,46,0
697847,FG,CS-4250,22,1
697858,XP,PM-1300,33,1
697881,FG,CS-4250,38,1
697892,FG,PM-1300,35,1
697913,XP,CS-4250,33,1
697962,XP,CS-4250,33,1
697980,XP,MC-3000,33,1
697998,XP,JM-7000,33,1
698025,FG,JM-7000,26,1
698036,XP,MC-3000,33,1
698045,XP,JM-7000,33,1
698053,XP,MC-3000,33,1
698070,FG,MC-3000,25,1
698081,FG,JM-7000,39,1
698101,FG,MC-3000,20,1
698117,FG,JM-7000,50,1
698159,FG,RS-3400,28,1
698176,FG,BW-0350,37,0
698205,XP,RS-3400,33,1
698214,FG,BW-0350,56,0
698219,FG,BW-0350,50,1
698235,FG,BW-0350,33,1
698245,XP,BW-0350,33,0
698261,FG,BW-0350,45,1
698264,XP,BW-0350,33,1
698283,FG,BW-0350,30,1
698306,FG,SJ-0300,47,1
698320,FG,WL-0300,42,1
698330,XP,SJ-0300,33,1
698342,XP,WL-0300,33,1
698360,XP,WL-0300,33,1
698403,XP,WL-0300,33,1
698417,FG,SJ-0300,31,1
698428,FG,WL-0300,50,0
698443,FG,WL-0300,20,1
698453,XP,WL-0300,33,1
698475,FG,WL-0300,61,0
698483,FG,CS-0250,47,1
698492,XP,JL-0207,33,1
698516,XP,JL-0207,33,1
698530,XP,JL-0207,33,1
698575,FG,JL-0207,29,1
698584,XP,CS-0250,33,1
698595,FG,JL-0207,28,1
698602,FG,JL-0207,54,0
698611,XP,CS-0250,33,1
698629,FG,CS-0250,33,1
698639,XP,CS-0250,33,1
698670,FG,RA-0375,43,1
698676,FG,MB-4600,34,1
698696,XP,MB-4600,33,1
698708,XP,RA-0375,33,1
698728,FG,MB-4600,34,1
698740,XP,RA-0375,33,1
698748,XP,RA-0375,33,1
698766,XP,RA-0375,33,1
698804,FG,MB-4600,29,1
698845,FG,SH-0400,39,1
698870,FG,AF-1150,41,1
698905,FG,SH-0400,38,1
698949,FG,AF-1150,27,0
698964,XP,AF-1150,33,1
698980,XP,SH-0400,33,0
699004,XP,MP-2100,33,1
699033,XP,MP-2100,33,1
699042,FG,AV-0400,50,1
699052,XP,MP-2100,33,1
699063,XP,AV-0400,33,1
699100,XP,MP-2100,33,1
699111,FG,AV-0400,40,1
699126,XP,AV-0400,33,1
699137,XP,MP-2100,33,0
699147,XP,AV-0400,33,1
699153,FG,MP-2100,43,1
699170,FG,DB-0200,23,1
699194,FG,DB-0200,56,1
699200,XP,RB-4650,33,1
699213,FG,DB-0200,25,1
699228,XP,RB-4650,33,0
699240,XP,DB-0200,33,1
699269,FG,DB-0200,54,1
699291,XP,RB-4650,33,1
699335,XP,SG-0800,33,1
699354,FG,SG-0800,47,1
699382,XP,CC-1150,33,1
699409,XP,SG-0800,33,1
699425,XP,CC-1150,33,1
699440,FG,SG-0800,53,1
699450,XP,CC-1150,33,1
699465,FG,SG-0800,32,1
699478,FG,CC-1150,47,0
699501,FG,DH-3970,31,1
699513,FG,DH-3970,40,1
699526,XP,CB-2275,33,1
699549,XP,CB-2275,33,1
699560,FG,CB-2275,46,1
699572,XP,CB-2275,33,1
699584,FG,DH-3970,34,1
699597,XP,DH-3970,33,1
699612,XP,CB-2275,33,1
699626,XP,CB-2275,33,1
699667,XP,PD-0200,33,1
699695,XP,PD-0200,33,1
699771,XP,PD-0200,33,1
699789,XP,PD-0200,33,1
699823,FG,NF-0300,28,1
699828,XP,DC-0500,33,1
699839,FG,NF-0300,29,1
699851,XP,NF-0300,33,1
699870,XP,NF-0300,33,1
699884,FG,DC-0500,39,1
699891,XP,DC-0500,33,1
699899,XP,DC-0500,33,1
699923,XP,NF-0300,33,1
699937,FG,NF-0300,36,1
699950,XP,NF-0300,33,1
699962,XP,DC-0500,33,1
699980,XP,PM-1300,33,1
699990,XP,PM-1300,33,1
699998,XP,PM-1300,33,0
700044,XP,JT-3950,33,1
700054,FG,JT-3950,52,1
700062,XP,JT-3950,33,1
700097,FG,PM-1300,52,0
700103,FG,JT-3950,49,1
700122,FG,JT-3950,41,1
700166,XP,CB-2275,33,1
700175,FG,MN-0800,25,1
700209,FG,CB-2275,49,1
700229,FG,MN-0800,33,1
700253,XP,CB-2275,33,1
700268,FG,MN-0800,21,1
700295,XP,CB-2275,33,1
700305,XP,MN-0800,33,1
700335,FG,DB-0200,22,1
700355,XP,DB-0200,33,1
700367,XP,DH-3970,33,1
700389,FG,DB-0200,31,1
700403,FG,DH-3970,36,1
700415,XP,DH-3970,33,1
700427,XP,DB-0200,33,1
700435,FG,DH-3970,29,1
700444,FG,DH-3970,22,1
700468,XP,DB-0200,33,1
700505,XP,NN-0200,33,1
700528,FG,CS-0250,53,1
700555,FG,NN-0200,32,1
700565,FG,NN-0200,24,1
700575,FG,NN-0200,57,0
700608,FG,CS-0250,43,1
700620,FG,NN-0200,31,1
700629,FG,CS-0250,35,1
700642,FG,NN-0200,43,1
700656,FG,CS-0250,30,1
700669,XP,SG-0800,33,1
700683,XP,SG-0800,33,1
700702,XP,SG-0800,33,1
700734,FG,SG-0800,34,1
700753,FG,AF-1150,27,1
700768,XP,SG-0800,33,1
700777,XP,AF-1150,33,1
700792,XP,AF-1150,33,1
700811,XP,AF-1150,33,1
700825,FG,SG-0800,39,0
700902,FG,WL-0300,38,0
700903,XP,JB-7100,33,1
700916,FG,WL-0300,39,1
700927,FG,JB-7100,53,0
700947,FG,JB-7100,48,1
700958,XP,WL-0300,33,1
700970,FG,JB-7100,19,1
700991,FG,WL-0300,45,1
701004,FG,JB-7100,23,1
701014,FG,PD-0200,29,1
701033,XP,GG-0100,33,1
701055,XP,PD-0200,33,1
701058,XP,GG-0100,33,1
701096,FG,GG-0100,39,1
701113,XP,GG-0100,33,1
701125,XP,GG-0100,33,1
701145,FG,PD-0200,39,1
701148,XP,PD-0200,33,1
701158,FG,GG-0100,31,1
701162,XP,PD-0200,33,1
701172,FG,GG-0100,49,1
701180,XP,GG-0100,33,0
701190,FG,GG-0100,41,1
701208,FG,RS-3400,51,0
701225,XP,MP-2100,33,1
701241,FG,RS-3400,46,1
701275,FG,MP-2100,42,1
701314,FG,MP-2100,27,1
701322,XP,RS-3400,33,1
701376,FG,GZ-2000,39,1
701404,FG,SH-0400,23,1
701440,FG,GZ-2000,28,1
701481,FG,GZ-2000,47,1
701564,XP,CC-1150,33,1
701573,FG,CC-1150,22,1
701601,XP,CC-1150,33,1
701612,XP,CC-1150,33,1
701630,XP,RA-0375,33,1
701636,FG,CC-1150,40,1
701645,XP,CC-1150,33,0
701654,FG,RA-0375,45,0
701663,XP,CC-1150,33,1
701745,FG,MB-4600,21,1
701755,XP,SJ-0300,33,1
701767,XP,MB-4600,33,1
701779,FG,MB-4600,20,1
701788,FG,SJ-0300,58,0
701800,XP,SJ-0300,33,1
701835,XP,SJ-0300,33,1
701843,XP,MB-4600,33,1
701858,XP,MB-4600,33,1
701868,XP,SJ-0300,33,1
701885,FG,BM-1650,54,0
701892,FG,AV-0400,48,1
701900,FG,BM-1650,23,1
701925,XP,BM-1650,33,1
701947,FG,AV-0400,52,1
701960,FG,BM-1650,43,1
701981,XP,AV-0400,33,1
701996,FG,BM-1650,33,1
702005,XP,BM-1650,33,1
702031,XP,AV-0400,33,1
702042,FG,BM-1650,35,1
702064,XP,JL-0207,33,1
702087,XP,JL-0207,33,1
702094,FG,JM-7000,54,0
702101,XP,JL-0207,33,1
702141,XP,JL-0207,33,1
702167,XP,JL-0207,33,1
702181,XP,JM-7000,33,1
702194,FG,JL-0207,25,1
702217,XP,JM-7000,33,1
702245,XP,MC-3000,33,1
702272,XP,BW-0350,33,1
702297,FG,BW-0350,46,1
702331,XP,BW-0350,33,1
702344,XP,MC-3000,33,1
702398,FG,CS-4250,25,1
702408,FG,CB-0700,31,0
702421,XP,CB-0700,33,1
702442,FG,CS-4250,29,1
702456,FG,CS-4250,53,1
702489,XP,CS-4250,33,1
702493,XP,CS-4250,33,0
702507,XP,CS-4250,33,1
702524,XP,CB-0700,33,1
702566,FG,SG-0800,24,1
702570,XP,SG-0800,33,1
702626,FG,SG-0800,25,1
702636,XP,SG-0800,33,1
702666,XP,SG-0800,33,1
