tid,gid,tname,pts,q1p,q2p,q3p,q4p,rfd,pfd,ifd,ry,ra,py,pa,pc,sk,ints,fum,pu,gpy,pr,pry,kr,kry,ir,iry,pen,top,td,tdr,tdp,tdt,fgm,fgat,fgy,rza,rzc,bry,bpy,srp,s1rp,s2rp,s3rp,spp,s1pp,s2pp,s3pp,lea,ley,lta,lty,lga,lgy,mda,mdy,rga,rgy,rta,rty,rea,rey,r1a,r1y,r2a,r2y,r3a,r3y,qba,qby,sla,sly,sma,smy,sra,sry,dla,dly,dma,dmy,dra,dry,wr1a,wr1y,wr3a,wr3y,tea,tey,rba,rby,sga,sgy,p1a,p1y,p2a,p2y,p3a,p3y,spc,mpc,lpc,q1ra,q1ry,q1pa,q1py,lcra,lcry,lcpa,lcpy,rzra,rzry,rzpa,rzpy,sky,lbs,dbs,sfpy,drv,npy,tb,i20,rtd,lnr,lnp,lbr,lbp,dbr,dbp,nha,s3a,s3c,l3a,l3c,stf,dp,fsp,ohp,pbep,dlp,dsp,dum,pfn,snpo,snpd
8545,4273,NYJ,37,6,14,7,10,7,18,3,124,37,370,34,24,1,0,1,2,82,0,0,4,54,1,0,50,39,4,3,1,0,3,3,93,7,4,43,226,17,7,8,2,20,9,5,6,2,8,5,16,6,34,13,51,5,14,3,3,1,-2,20,57,11,53,4,14,4,22,5,20,6,62,10,32,3,82,4,88,6,90,17,227,10,137,2,0,5,10,37,332,13,176,13,87,9,107,6,6,12,12,38,10,76,10,38,5,92,10,43,3,6,4,0,0,271,11,74,0,1,0,9,2,3.5,4.5,6.5,7.5,0,3,2,8,5,6,0,2,1,0,2,1,2,0,74,53
8546,4273,BUF,31,7,3,14,7,6,9,1,86,19,307,30,19,0,1,0,3,118,1,8,5,125,0,0,59,21,4,0,3,1,1,1,39,1,1,59,155,9,4,4,1,16,9,4,3,3,4,0,0,2,0,7,53,4,7,2,7,1,15,8,43,6,34,5,9,4,27,10,68,3,10,10,56,4,0,0,0,3,120,7,30,10,148,7,27,6,49,43,423,14,76,9,41,7,137,5,11,3,1,0,2,58,5,28,2,10,0,0,2,18,0,0,0,261,10,118,0,1,0,10.5,2.5,14.5,3.5,7,18,3,7,2,4,2,8,7,0,2,1,0,2,1,0,53,74
8547,4274,BAL,25,2,10,7,6,3,17,2,80,26,302,45,25,0,2,0,3,141,2,22,2,80,2,0,29,31,2,0,2,0,3,3,142,2,2,11,131,8,5,3,0,21,5,6,10,2,5,5,28,3,5,0,0,5,11,11,31,0,0,14,36,10,43,2,1,1,1,13,87,10,84,12,44,4,17,1,20,5,50,12,105,8,41,15,124,10,32,46,311,16,86,14,87,15,129,6,11,8,7,22,12,40,10,27,5,47,2,5,2,24,0,0,0,330,12,128,0,2,0,4,5,11.5,6,5.5,10,17,2,0,7,2,5,0,0,0,2,1,1,0,1,75,62
8548,4274,CLE,20,20,0,0,0,2,15,0,145,23,242,33,20,3,2,0,5,226,2,13,2,32,2,9,59,29,3,1,2,0,0,1,0,2,1,100,106,6,5,1,0,17,5,3,9,1,15,3,17,5,53,1,0,8,7,4,9,1,-1,12,57,9,35,2,8,2,0,4,38,3,35,14,109,5,31,2,47,5,0,18,136,4,28,5,37,6,59,39,281,13,58,9,11,14,173,5,8,7,7,60,7,92,4,-2,12,54,1,-5,1,11,18,0,0,283,12,204,0,2,0,10,0,10,7,6,16,6,2,1,11,5,10,0,1,2,2,0,1,3,0,62,75
8549,4275,CIN,16,3,3,3,7,1,17,3,46,18,366,54,31,1,0,2,9,407,3,19,0,0,2,2,31,27,1,0,1,0,3,3,79,3,0,10,165,4,3,0,1,28,14,10,4,1,2,0,0,2,3,3,3,9,27,2,10,1,1,10,18,6,17,2,11,2,7,16,79,11,55,17,107,1,0,4,58,5,67,16,77,10,108,12,44,16,137,62,421,23,194,17,110,15,62,6,15,10,7,21,9,69,2,13,8,48,2,2,7,8,0,0,0,284,15,362,0,3,0,16.5,1.5,10.5,7.5,9,7,12,2,1,9,0,5,0,0,2,2,1,0,1,2,76,74
8550,4275,PIT,24,7,3,7,7,6,12,1,124,36,250,37,19,1,2,0,8,377,5,45,1,22,0,0,54,33,3,0,3,0,1,1,49,2,2,25,137,15,6,9,0,16,6,3,7,4,19,3,11,2,14,17,45,2,-2,6,22,2,15,17,50,17,77,2,-3,1,14,13,62,5,15,10,68,3,61,2,0,4,53,11,39,10,113,10,60,6,47,44,309,13,89,9,51,16,110,5,8,6,9,26,10,106,11,23,7,51,3,16,4,33,9,1,0,431,14,338,1,5,0,4,5,9,8.5,4,13.5,17,3,2,7,3,11,0,1,0,1,0,2,0,0,74,76
8551,4276,DAL,27,10,3,7,7,8,13,3,102,30,278,30,22,4,0,1,3,142,1,7,2,52,1,0,39,33,3,3,0,0,2,2,53,5,3,21,106,15,9,5,1,18,8,4,6,6,39,2,1,5,24,6,9,2,6,2,6,7,17,18,58,10,37,2,7,1,6,13,110,9,95,6,54,1,16,1,17,0,0,12,102,7,75,6,80,5,35,30,223,12,98,11,55,11,125,4,9,9,9,28,12,136,8,6,9,59,5,16,7,4,14,0,0,277,10,112,0,1,0,6.5,4,6,7,3.5,17,2,3,2,7,4,8,0,0,1,3,1,1,1,0,68,67
8552,4276,WAS,23,0,10,13,0,4,18,2,82,17,350,45,28,2,1,0,2,75,2,30,2,42,0,0,51,27,2,1,1,0,3,3,87,6,2,34,180,10,8,2,0,24,7,12,5,3,24,2,7,1,6,2,10,1,5,3,2,5,28,13,68,3,14,1,0,2,20,10,57,10,134,16,75,4,73,2,25,2,0,20,104,6,62,13,137,5,61,35,207,16,148,19,129,12,73,7,13,8,3,9,5,66,3,6,16,140,3,19,11,28,14,2.5,1,310,10,68,0,1,0,6,0.5,12,10.5,9,15,10,3,1,7,2,3,0,2,0,1,3,2,1,0,67,68
8553,4277,KC,12,0,3,0,9,3,10,1,119,19,172,37,20,4,0,3,6,285,4,63,6,158,2,47,77,26,0,0,0,0,4,4,161,2,0,74,34,7,4,2,1,14,8,4,2,1,21,0,0,2,0,11,88,3,9,2,1,0,0,8,43,7,39,4,37,2,2,10,43,8,57,12,35,2,0,2,0,3,51,19,83,5,19,8,34,5,50,50,350,18,102,13,42,10,28,8,9,3,5,6,10,19,0,0,0,0,1,2,4,0,14,2,0,383,13,273,0,2,0,11,1,15.5,5,5.5,14,0,2,0,11,2,6,0,3,4,0,0,1,1,1,64,72
8554,4277,HOU,19,7,6,0,6,2,12,1,99,37,254,33,19,2,2,0,5,249,4,12,2,39,0,0,44,34,1,0,1,0,4,5,130,4,0,0,135,12,7,5,0,14,4,5,5,1,5,2,12,5,7,11,34,9,34,1,2,3,6,17,51,12,37,3,12,0,0,8,84,5,14,13,39,2,0,2,51,3,80,18,217,4,3,6,21,5,27,55,419,10,81,12,106,13,67,4,9,6,5,15,10,99,14,48,6,58,6,12,6,5,14,1,0,503,15,186,0,0,0,4.5,4,6.5,4,7,15,0,5,2,8,2,7,0,0,4,0,1,1,1,0,72,64
8555,4278,MIA,24,0,3,7,14,2,19,2,70,16,389,44,32,0,2,2,4,199,0,0,1,15,0,0,49,23,3,1,2,0,1,1,27,3,2,17,172,8,5,3,0,29,14,10,5,3,16,2,5,0,0,4,2,2,25,1,1,4,21,9,37,5,33,2,0,6,35,11,117,9,93,14,69,5,57,0,0,5,53,30,282,0,0,8,70,6,37,50,464,20,171,15,146,9,72,9,13,10,4,12,2,0,1,17,5,25,2,13,2,12,0,0,1,272,12,166,0,0,0,14.5,2,14.5,4,7,17,31,4,3,3,1,3,0,0,1,0,0,1,2,1,64,80
8556,4278,NE,31,14,10,7,0,11,15,3,162,39,304,36,24,2,0,1,4,128,3,33,1,18,2,13,65,37,4,1,3,0,1,2,34,4,3,74,107,16,8,7,1,21,8,6,7,6,61,5,6,2,1,14,46,7,28,2,10,1,10,21,99,13,51,3,12,3,13,11,91,8,91,11,100,2,0,3,44,1,0,15,126,9,74,6,114,6,12,44,358,14,133,13,69,11,102,4,10,10,8,27,15,177,10,38,2,16,4,10,6,50,22,0,0,377,12,128,0,2,0,6,1,4,5.5,3,21.5,0,1,1,8,5,8,0,1,3,1,0,2,0,0,80,64
8557,4279,NO,13,0,3,0,10,1,15,0,41,13,247,44,29,2,0,0,7,383,2,27,2,24,0,0,76,26,1,0,1,0,2,3,84,1,1,0,44,5,4,1,0,20,9,8,3,1,-2,1,5,3,10,1,0,4,12,2,15,1,1,10,38,3,3,0,0,0,0,17,97,9,67,9,43,3,21,1,17,5,18,14,124,13,68,8,29,9,42,42,198,16,129,17,81,13,37,12,11,6,6,14,5,13,1,2,13,99,0,0,3,14,16,1,0,326,11,314,3,3,0,9.5,3,8.5,5,10,26,3,1,1,9,2,2,0,1,4,1,1,2,1,0,62,79
8558,4279,NYG,16,0,7,3,6,5,15,2,68,36,353,41,32,2,0,3,2,116,1,9,1,2,0,0,25,34,1,0,0,0,3,4,90,3,0,0,138,12,4,6,2,26,12,8,6,0,0,3,12,9,21,5,12,5,9,4,2,2,12,16,28,10,36,2,4,0,0,14,77,13,141,10,84,2,0,0,0,2,66,27,294,0,0,8,34,6,40,50,394,15,109,15,78,13,166,9,17,6,7,12,13,70,8,17,12,124,4,12,5,12,15,0,2,236,11,89,0,0,0,5,1,2,7.5,6,21.5,52,8,5,5,3,9,7,0,2,0,2,0,0,0,79,62
8559,4280,SF,27,3,7,0,17,3,13,0,65,26,237,36,17,2,2,1,7,318,0,0,4,66,1,0,50,24,3,1,2,0,2,2,68,3,1,18,123,9,6,2,1,15,7,5,3,4,18,3,6,4,5,9,32,1,2,2,3,3,-1,15,50,8,8,3,7,3,10,11,94,5,29,10,57,1,20,2,0,6,28,22,109,3,13,6,78,5,28,62,349,13,84,12,114,13,24,3,11,3,9,15,6,41,0,0,0,0,6,11,3,-6,6,1,0,543,17,290,0,4,0,7.5,1.5,16,5,13.5,12.5,40,2,2,11,1,7,0,0,3,0,1,2,1,0,65,83
8560,4280,CAR,46,7,10,14,15,8,15,3,176,37,353,39,24,1,1,3,3,123,3,28,6,130,2,17,65,36,5,0,4,1,4,4,160,5,3,90,204,15,8,5,2,19,9,5,5,5,33,1,6,8,52,11,49,3,7,6,24,3,5,20,86,13,52,4,38,6,37,11,51,4,0,14,89,2,0,2,42,6,153,13,159,10,34,9,104,7,38,55,480,15,202,14,47,11,86,7,10,7,9,21,5,15,3,4,5,36,7,9,4,35,0,0,0,445,15,123,0,3,0,9,2,8.5,5,7.5,10,19,2,1,10,4,9,7,0,5,3,0,1,2,0,83,65
8561,4281,TEN,16,0,3,0,13,7,11,4,140,25,224,33,25,3,1,0,3,142,2,9,2,34,1,3,83,31,2,0,2,0,1,2,46,1,1,77,104,12,6,4,2,17,10,3,4,1,2,7,36,0,0,11,65,0,0,2,5,2,5,12,70,8,27,3,16,2,11,9,62,7,53,11,41,3,62,2,20,1,0,13,73,2,9,10,91,8,65,32,220,17,156,9,43,10,25,8,13,4,9,18,8,50,5,22,12,77,1,6,3,19,14,3,0,172,10,119,0,1,0,3,3,13.5,6.5,6.5,15.5,6,2,2,6,1,5,0,0,3,1,1,5,1,2,67,79
8562,4281,DET,15,9,3,3,0,6,11,5,137,23,238,40,22,4,1,0,5,217,2,23,2,35,1,0,138,29,1,0,1,0,2,2,69,3,1,86,130,10,6,2,2,16,5,6,5,1,-2,6,46,0,0,8,54,0,0,5,33,3,6,14,86,4,15,5,36,2,31,12,44,2,6,14,127,5,54,1,29,5,0,27,179,0,0,7,53,5,28,54,388,17,62,16,70,11,106,4,14,4,4,13,7,72,3,11,13,48,2,7,3,1,22,0,0,263,10,208,0,5,0,11.5,5,7.5,7,4,14,30,2,1,11,4,5,2,0,8,2,3,4,1,0,79,67
8563,4282,SEA,3,0,3,0,0,4,10,3,67,24,239,35,22,2,0,2,7,309,0,0,1,20,0,0,114,30,0,0,0,0,1,1,23,1,0,49,88,8,4,3,1,14,6,5,3,2,-7,3,8,1,5,10,31,1,11,6,3,1,16,14,38,7,8,3,21,5,14,14,71,6,58,9,37,6,88,0,0,0,0,12,31,10,134,5,48,7,41,61,373,13,126,14,71,10,42,5,13,4,7,-6,7,73,2,0,12,108,3,2,4,15,15,0,0,170,10,274,1,3,0,8.5,3.5,9,6.5,5.5,9,1,2,2,9,1,11,0,3,4,0,1,2,3,0,67,62
8564,4282,LA,9,3,3,0,3,3,10,4,66,27,219,30,18,3,0,0,6,237,3,15,0,0,0,0,78,30,0,0,0,0,3,3,114,1,0,11,107,8,6,1,1,13,4,7,2,2,9,5,18,0,0,11,26,1,-1,3,6,1,8,16,45,6,17,1,4,1,7,12,71,2,13,6,13,5,125,0,0,4,17,19,144,1,8,6,61,3,26,21,80,9,83,13,111,11,25,5,6,7,2,7,9,47,8,21,9,26,1,-4,2,-2,20,0,0,237,10,237,0,6,0,9,2.5,7.5,1,7.5,20.5,0,2,2,8,1,7,0,1,3,2,1,2,2,0,62,67
8565,4283,TB,7,0,0,7,0,5,14,2,86,22,221,52,27,3,4,1,6,282,5,43,1,19,0,0,39,31,1,0,1,0,0,1,0,1,1,36,24,9,5,4,0,22,10,7,5,2,7,2,-2,0,0,10,44,0,0,1,1,5,36,12,46,8,40,0,0,2,10,14,90,9,59,15,75,5,19,2,0,5,0,26,114,12,95,6,30,6,4,50,197,22,89,19,77,14,58,8,14,5,6,22,8,41,0,0,0,0,1,-3,2,19,22,0,0,360,14,255,1,3,0,10,2,7.5,0,10.5,14,10,0,0,9,2,5,0,0,3,1,1,1,0,1,79,66
8566,4283,ARI,40,0,24,9,7,4,15,1,101,29,315,35,19,1,0,0,6,279,1,7,0,0,4,108,30,29,5,1,3,1,2,2,62,5,3,20,209,10,5,5,0,18,7,5,6,5,22,4,12,0,0,14,47,0,0,6,20,0,0,16,47,12,52,1,2,0,0,10,74,6,25,10,93,4,76,0,0,5,51,17,89,5,92,7,31,6,107,18,184,12,128,11,104,13,83,4,8,7,8,25,12,63,0,0,0,0,8,27,9,8,4,1,0,345,12,236,0,3,0,5,2.5,4,3.5,11,22,4,2,1,7,2,6,6,0,1,0,0,3,0,0,66,79
8567,4284,ATL,35,0,13,8,14,8,18,1,139,29,389,34,26,1,1,0,3,132,2,74,1,11,0,0,73,27,4,1,3,0,2,2,41,6,3,54,211,15,11,4,0,23,10,8,5,2,10,2,8,0,0,21,97,1,3,3,21,0,0,18,112,10,23,1,4,0,0,7,41,15,163,6,46,2,34,1,0,3,112,10,125,9,66,13,180,2,25,17,189,15,160,11,177,9,52,4,11,11,10,53,10,48,9,38,8,114,7,31,6,27,7,0,0,282,10,112,1,1,0,7,2,5,10.5,12,18.5,24,0,0,5,3,4,0,1,1,2,1,2,0,0,64,75
8568,4284,OAK,28,0,7,7,14,8,17,4,155,25,299,45,34,1,0,0,4,211,1,0,3,45,1,0,58,33,4,1,3,0,0,1,0,3,3,84,56,15,7,7,1,27,17,5,5,3,36,2,17,3,5,11,66,1,2,1,1,4,28,12,49,11,94,2,12,2,10,10,69,11,93,20,82,2,31,1,25,1,0,14,103,10,35,11,74,10,88,35,228,22,186,12,58,12,56,13,16,5,4,18,6,15,7,41,7,24,3,19,6,21,0,0,0,212,11,137,0,3,0,9.5,2.5,7,3.5,11.5,18,6,6,3,5,3,2,0,2,2,1,2,1,0,1,75,64
8569,4285,IND,20,3,3,7,7,4,11,4,84,22,170,40,21,5,1,1,4,226,0,0,2,47,1,19,94,29.5,2,1,1,0,2,2,100,2,2,21,52,11,4,5,2,17,6,6,5,1,5,2,21,1,1,12,46,3,9,0,0,1,2,8,26,9,35,3,23,2,23,10,57,11,76,13,34,2,30,3,0,0,0,14,50,7,37,9,62,9,48,37,167,19,28,14,103,12,39,4,14,3,5,14,9,33,0,0,4,-10,3,8,6,20,27,0,0,320,12,180,1,1,0,12,1,7.5,6,9.5,16,0,5,3,8,3,1,0,1,2,1,0,4,0,0,73,71
8570,4285,DEN,34,3,10,3,18,7,13,4,134,31,266,33,22,1,1,0,2,98,2,26,0,0,1,46,54,30.5,3,1,0,2,4,5,134,4,1,57,64,17,9,7,1,20,10,6,4,0,0,6,34,4,7,10,29,3,19,7,38,1,7,17,69,11,59,3,6,1,7,19,159,6,54,5,15,1,0,2,38,0,0,15,129,7,56,3,46,8,35,18,110,13,109,13,101,8,56,3,13,6,7,33,10,99,4,13,3,29,6,13,3,0,0,3.5,0,223,9,78,1,1,0,5.5,1.5,8,7.5,4.5,15,0,4,1,5,4,7,15,1,1,1,1,3,1,0,71,73
8571,4286,JAC,14,0,0,0,14,6,13,1,69,11,319,50,31,2,2,1,4,179,2,9,3,67,0,0,93,25,2,0,2,0,0,1,0,3,2,39,127,7,3,2,2,22,12,9,1,1,24,1,2,1,5,4,15,0,0,1,1,3,22,5,43,4,16,2,10,3,34,16,91,12,93,12,50,4,59,5,36,0,0,15,118,12,91,10,88,12,32,51,357,24,164,17,118,11,37,7,14,10,3,5,3,11,0,0,0,0,0,0,6,24,10,0,0,264,12,158,0,2,0,9.5,3,13.5,5,9,8,0,1,1,6,0,2,0,2,4,1,3,3,1,0,66,68
8572,4286,SD,38,7,14,14,3,10,10,4,152,36,207,25,17,3,0,1,4,173,2,21,0,0,2,29,23,35,5,1,4,0,1,1,25,5,3,84,132,16,9,4,3,13,6,3,4,4,25,2,5,0,0,17,63,3,2,2,25,5,31,20,92,9,33,4,26,1,10,8,22,7,38,7,72,0,0,0,0,3,88,9,122,6,61,5,15,5,22,36,326,9,70,10,68,9,69,6,8,3,12,67,7,49,0,0,0,0,9,24,11,35,13,2,0,483,12,164,0,2,0,0.5,1,5,9,5.5,20,0,1,1,8,2,7,0,1,0,1,0,1,0,0,68,66
8573,4287,GB,14,7,0,0,7,5,10,5,83,23,180,36,20,5,1,2,5,193,1,2,1,21,0,0,72,29.5,2,1,1,0,0,0,0,3,2,45,60,9,5,2,2,16,5,7,4,5,38,2,4,2,0,6,39,1,2,2,-1,5,1,14,43,6,20,3,20,3,29,15,87,8,66,7,21,4,39,1,0,1,0,18,115,8,26,8,56,2,16,48,271,15,33,15,66,11,81,5,11,4,5,12,9,9,4,24,13,53,5,7,3,1,33,1.5,0,229,11,193,0,1,0,6,2.5,12,8.5,3,13,7,2,0,8,4,5,0,0,3,0,0,2,2,0,71,58
8574,4287,MIN,17,0,10,7,0,2,11,2,31,25,254,31,22,4,0,1,7,273,0,0,2,62,1,4,137,30.5,2,0,2,0,1,1,46,1,1,12,115,7,5,1,1,13,4,5,4,1,5,3,10,5,-3,5,10,3,7,3,6,1,-2,13,21,7,10,1,2,0,0,5,46,6,48,15,104,3,19,1,25,1,44,13,197,5,41,8,31,5,17,32,164,10,97,11,95,14,62,6,9,7,4,1,10,45,8,12,4,6,0,0,3,21,32,0,0,357,11,271,0,4,0,11,5,4,2,7,17,0,3,2,8,1,12,0,4,0,2,2,5,1,0,58,71
8575,4288,PHI,29,3,6,13,7,7,12,2,103,38,180,33,21,2,0,0,5,218,0,0,2,57,1,28,34,36,3,2,1,0,3,3,107,6,3,55,54,11,7,3,1,17,8,4,5,7,43,3,3,9,6,0,0,4,20,0,0,6,34,16,65,7,32,6,9,3,16,13,73,3,14,11,53,1,0,1,18,4,32,17,112,11,67,1,0,4,11,43,258,11,87,13,49,11,44,7,11,3,3,12,12,46,0,0,0,0,10,29,8,17,10,0,1,457,13,153,0,1,0,10,2,2,6,5,16,4,2,2,10,2,10,0,1,2,1,0,1,1,0,72,52
8576,4288,CHI,14,0,7,0,7,6,9,1,64,18,220,29,21,3,1,2,4,151,1,65,5,90,0,0,60,24,2,1,0,0,0,1,0,3,1,26,102,11,6,2,3,17,11,5,1,3,33,4,7,5,12,0,0,4,1,1,10,1,1,10,45,5,10,3,9,0,0,8,63,4,34,12,67,0,0,1,22,4,49,13,132,6,52,5,33,5,18,34,214,15,152,9,56,8,12,6,11,4,2,2,8,60,0,0,0,0,2,1,6,5,15,2,0,260,10,151,0,1,1,4.5,0,14.5,5,8,17,10,6,3,3,0,5,0,1,2,0,3,0,2,0,52,72
8577,4289,HOU,0,0,0,0,0,9,10,0,109,27,175,41,24,2,1,2,6,294,0,0,3,51,0,0,43,31.5,0,0,0,0,0,0,0,0,0,38,0,11,2,6,3,21,12,6,3,0,0,5,29,4,12,6,26,7,24,2,1,3,17,10,30,10,45,7,34,1,13,9,29,9,40,14,93,4,0,1,0,3,34,15,87,4,15,12,52,9,42,69,385,19,102,13,49,11,24,6,15,3,10,26,8,42,0,0,0,0,0,0,0,0,21,1,0,172,11,241,1,3,0,10,1,16,4,8,7,12,4,2,8,2,6,0,0,0,1,0,3,2,0,0,0
8578,4289,NE,27,10,0,10,7,8,4,3,187,41,97,19,11,1,0,0,7,333,3,33,1,24,1,18,15,28.5,3,3,0,0,2,2,49,3,1,95,50,20,12,7,1,8,4,1,3,4,58,7,18,9,33,8,17,3,3,2,14,4,43,19,88,15,91,3,7,6,50,10,74,1,0,5,29,3,0,0,0,0,0,8,61,5,30,4,10,2,2,24,147,6,39,4,9,10,49,5,3,3,7,52,6,43,0,0,0,0,8,20,5,10,6,0,0,526,14,333,0,6,0,12.5,3,7.5,11,7,9,0,4,2,7,1,9,0,2,0,1,1,0,0,0,0,0
