pid,psr,trg,loc,yds,comp,succ,spk,dfb
698359,DB-3800,BC-2325,SM,15,1,1,0,
698362,DC-0725,MC-2900,SL,0,0,0,0,
698365,DC-0725,DW-1350,SM,10,1,0,0,
698367,DB-3800,MT-0875,SR,7,1,1,0,
698370,DB-3800,TC-0050,SR,0,0,0,0,
698372,DB-3800,TC-0050,SR,0,0,0,0,
698373,DB-3800,TC-0050,SR,6,1,1,0,
698374,DB-3800,BC-2325,DL,0,0,0,0,
698377,DC-0725,CW-0225,SM,9,1,1,0,
698379,DC-0725,SR-0750,SR,9,1,1,0,
698380,DC-0725,MC-2900,SR,8,1,1,0,
698381,DC-0725,,NL,0,0,0,1,
698382,DC-0725,CW-0225,SR,-2,1,0,0,
698383,DC-0725,AC-2350,SL,21,1,1,0,
698387,DC-0725,AC-2350,SM,0,0,0,0,
698391,DB-3800,BC-2325,SR,7,1,0,0,
698392,DB-3800,MT-0875,SR,4,1,0,0,
698394,DC-0725,MC-2900,SR,6,1,1,0,
698395,DC-0725,MC-2900,SR,7,1,1,0,
698398,DC-0725,AC-2350,SR,0,0,0,0,
698400,DC-0725,AC-2350,SL,0,0,0,0,
698402,DB-3800,BC-2325,DL,98,1,1,0,
698406,DC-0725,LM-1850,SM,13,1,1,0,
698407,DC-0725,LM-1850,SR,0,0,0,0,JL-0600
698410,DC-0725,MC-2900,SL,9,1,1,0,
698411,DC-0725,TJ-2400,SL,16,1,1,0,
698413,DC-0725,MC-2900,DR,20,1,1,0,
698414,DC-0725,SR-0750,SM,0,0,0,0,CR-1150
698416,DC-0725,CW-0225,SM,0,0,0,0,
698419,DB-3800,MT-0875,SR,9,1,1,0,
698420,DB-3800,TH-1600,SL,1,1,1,0,
698423,DB-3800,TC-0050,SL,6,1,1,0,
698424,DB-3800,WS-0925,SR,11,1,1,0,
698425,DB-3800,MT-0875,SL,2,1,0,0,
698427,DB-3800,CF-0650,DR,0,0,0,0,KM-1150
698430,DC-0725,AC-2350,DL,43,1,1,0,
698431,DC-0725,MC-2900,DM,25,1,1,0,
698432,DC-0725,AC-2350,SR,0,0,0,0,
698437,DB-3800,CF-0650,SM,6,1,1,0,
698441,DB-3800,TC-0050,SR,0,0,0,0,
698445,DC-0725,AH-3600,SR,0,0,0,0,KV-0050
698451,DB-3800,WS-0925,DL,43,1,1,0,
698452,DB-3800,TC-0050,SL,2,1,1,0,
698456,DC-0725,CW-0225,SL,18,1,1,0,
698461,DC-0725,MC-2900,SR,12,1,1,0,
698462,DC-0725,CW-0225,DR,0,0,0,0,
698463,DC-0725,SR-0750,DM,0,0,0,0,
698466,DC-0725,JR-2075,SR,3,1,0,0,
698467,DC-0725,SR-0750,SL,10,1,1,0,
698470,DB-3800,WS-0925,DM,21,1,1,0,
698471,DB-3800,,NL,0,0,0,1,
698472,DB-3800,WS-0925,SM,13,1,1,0,
698473,DB-3800,,NL,0,0,0,1,
698474,DB-3800,CF-0650,SR,0,0,0,0,
698477,AS-1600,JM-0200,SM,5,1,1,0,
698478,AS-1600,JM-0200,SL,7,1,1,0,
698479,AS-1600,SW-0350,SR,28,1,1,0,
698482,AS-1600,JM-0200,SL,0,0,0,0,
698485,PR-0300,KA-0650,SM,14,1,1,0,
698488,PR-0300,TW-2875,SL,33,1,1,0,
698496,AS-1600,CC-3950,SM,13,1,1,0,
698497,AS-1600,,NL,0,0,0,0,
698498,AS-1600,AW-1650,SL,0,0,0,0,
698501,AS-1600,RT-1550,SM,0,0,0,0,JB-6825
698503,PR-0300,KA-0650,SL,15,1,1,0,
698505,PR-0300,KA-0650,SL,0,0,0,0,
698506,PR-0300,KA-0650,SR,9,1,1,0,
698507,PR-0300,TB-1060,SL,8,1,1,0,
698510,PR-0300,AG-0500,SL,4,1,1,0,
698513,PR-0300,HH-0225,SL,0,0,0,0,
698524,PR-0300,KA-0650,SR,6,1,1,0,
698526,PR-0300,DW-4300,SL,7,1,0,0,
698527,PR-0300,AG-0500,SM,8,1,1,0,
698528,PR-0300,TB-1060,SR,8,1,1,0,
698529,PR-0300,DW-4300,SR,4,1,1,0,
698536,AS-1600,TK-0150,SL,13,1,1,0,
698537,AS-1600,CW-1450,SR,0,1,0,0,
698540,PR-0300,KA-0650,SR,8,1,1,0,
698541,PR-0300,DW-4300,SR,0,1,0,0,
698542,PR-0300,AG-0500,SL,8,1,1,0,
698543,PR-0300,KA-0650,SR,11,1,1,0,
698545,PR-0300,DW-4300,SL,8,1,1,0,
698546,PR-0300,TW-2875,DR,0,0,0,0,
698547,PR-0300,AG-0500,SL,0,0,0,0,
698549,AS-1600,TK-0150,SM,5,1,1,0,
698550,AS-1600,TK-0150,SL,20,1,1,0,
698551,AS-1600,,NL,0,0,0,0,
698552,AS-1600,CW-1450,SR,3,1,0,0,
698553,AS-1600,CC-3950,DM,0,0,0,0,
698558,PR-0300,DI-0075,SR,6,1,1,0,
698564,AS-1600,DH-1450,SR,7,1,1,0,
698571,PR-0300,TB-1060,SR,5,1,1,0,
698572,PR-0300,TB-1060,SR,0,0,0,0,
698574,PR-0300,TW-2875,SR,0,0,0,0,RP-0200
698577,AS-1600,SW-0350,DM,45,1,1,0,
698578,AS-1600,SW-0350,SL,9,1,1,0,
698580,AS-1600,DH-1450,DL,0,0,0,0,
698581,AS-1600,TK-0150,SL,13,1,1,0,
698582,AS-1600,AW-1650,SL,3,1,0,0,
698583,AS-1600,TH-1750,SL,9,1,1,0,
698586,PR-0300,TB-1060,SR,5,1,1,0,
698588,PR-0300,TW-2875,DL,0,0,0,0,
698589,PR-0300,TB-1060,SL,8,1,1,0,
698590,PR-0300,TW-2875,SR,38,1,1,0,
698594,PR-0300,DW-4300,SL,0,0,0,0,
698597,AS-1600,CC-3950,SR,12,1,1,0,
698598,AS-1600,JM-0200,SR,0,0,0,0,
698601,PR-0300,DI-0075,SM,0,0,0,0,FZ-0100
698603,AS-1600,CC-3950,SR,9,1,1,0,
698604,AS-1600,AW-1650,SR,-1,1,0,0,
698605,AS-1600,CC-3950,SR,0,0,0,0,CH-2250
698606,AS-1600,CW-1450,SR,7,1,1,0,
698607,AS-1600,SW-0350,SM,12,1,1,0,
698608,AS-1600,JM-0200,SL,10,1,1,0,
698609,AS-1600,JM-0200,DL,19,1,1,0,
698613,PR-0300,HH-0225,SM,20,1,1,0,
698616,PR-0300,DI-0075,SL,0,0,0,0,MP-0950
698618,AS-1600,CC-3950,SL,9,1,1,0,
698619,AS-1600,AW-1650,DR,0,0,0,0,CH-2250
698621,AS-1600,SW-0350,SL,0,0,0,0,
698623,AS-1600,SW-0350,SM,6,1,1,0,
698624,AS-1600,SW-0350,SM,9,1,1,0,
698625,AS-1600,DH-1450,SM,13,1,1,0,
698626,AS-1600,,NL,0,0,0,0,
698627,AS-1600,CC-3950,DR,0,0,0,0,
698628,AS-1600,CW-1450,SR,4,1,0,0,
698632,PR-0300,TB-1060,SR,-2,1,0,0,
698633,PR-0300,TB-1060,SL,0,1,0,0,
698635,AS-1600,CW-1450,SR,3,1,0,0,
698636,AS-1600,CW-1450,SR,7,1,1,0,
698637,AS-1600,JM-0200,DM,22,1,1,0,
698641,PR-0300,DW-4300,SM,0,0,0,0,
698642,PR-0300,DW-4300,SM,12,1,1,0,
698648,AS-1600,SW-0350,SR,20,1,1,0,
698652,AS-1600,TK-0150,SL,8,1,1,0,
698653,AS-1600,AW-1650,SL,-1,1,0,0,
698654,AS-1600,TK-0150,SL,15,1,1,0,
698655,AS-1600,TK-0150,SR,0,0,0,0,
698661,MR-2500,PD-0700,SL,8,1,0,0,
698664,JW-5650,AH-3862,SR,4,1,0,0,
698668,JW-5650,AH-3862,DR,0,0,0,0,
698669,JW-5650,ME-0600,DR,0,0,0,0,
698672,MR-2500,MS-0150,DR,59,1,1,0,
698673,MR-2500,MS-0150,SL,4,1,1,0,
698674,MR-2500,JH-1350,SR,0,1,0,0,
698679,JW-5650,VJ-0100,SL,0,0,0,0,RA-0650
698680,JW-5650,DM-0450,SM,7,1,0,0,
698682,MR-2500,MS-0150,SR,0,0,0,0,
698689,JW-5650,VJ-0100,DR,0,0,0,0,
698691,MR-2500,DF-1875,SM,11,1,1,0,
698693,MR-2500,JT-0300,SL,3,1,1,0,
698695,MR-2500,MS-0150,SM,5,1,1,0,
698698,JW-5650,ME-0600,SL,4,1,1,0,
698699,JW-5650,AH-3862,SR,4,1,1,0,
698701,JW-5650,DM-0450,SM,14,1,1,0,
698702,JW-5650,DM-0450,SR,7,1,1,0,
698705,JW-5650,AH-3862,SL,26,1,1,0,
698707,JW-5650,BM-3800,SR,4,1,1,0,
698711,MR-2500,JJ-4700,SL,14,1,1,0,
698712,MR-2500,TC-2050,SR,16,1,1,0,
698715,MR-2500,JH-1350,SR,0,0,0,0,BG-2100
698718,JW-5650,DM-0450,SL,4,1,0,0,
698719,JW-5650,DM-0450,SL,2,1,0,0,
698721,MR-2500,JJ-4700,DL,0,0,0,0,
698723,MR-2500,TC-2050,SR,47,1,1,0,
698725,MR-2500,DF-1875,SM,-5,1,0,0,
698730,JW-5650,AH-3862,SL,0,0,0,0,
698731,JW-5650,CB-2775,SR,6,1,1,0,
698732,JW-5650,CB-2775,SR,17,1,1,0,
698733,JW-5650,CB-2775,SR,7,1,1,0,
698734,JW-5650,CS-1950,SM,4,1,1,0,
698735,JW-5650,VJ-0100,DR,0,0,0,0,
698736,JW-5650,VJ-0100,SM,0,0,0,0,
698737,JW-5650,VJ-0100,SR,11,1,1,0,
698738,JW-5650,VJ-0100,SR,7,1,1,0,
698739,JW-5650,CS-1950,SR,23,1,1,0,
698744,JW-5650,ME-0600,SL,15,1,1,0,
698746,JW-5650,ME-0600,DL,27,1,1,0,
698747,JW-5650,AS-0550,DL,30,1,1,0,
698750,MR-2500,JJ-4700,SM,19,1,1,0,
698752,MR-2500,MS-0150,SL,5,1,1,0,
698755,MR-2500,TC-2050,SR,-5,1,0,0,
698756,MR-2500,JT-0300,SM,9,1,0,0,
698759,JW-5650,VJ-0100,DL,0,0,0,0,RA-0650
698760,JW-5650,CB-2775,SR,0,0,0,0,TJ-0600
698765,JW-5650,ME-0600,DL,45,1,1,0,
698768,MR-2500,AH-3650,SL,14,1,1,0,
698769,MR-2500,JT-0300,SL,0,0,0,0,
698770,MR-2500,DF-1875,SL,7,1,1,0,
698771,MR-2500,MS-0150,SR,0,0,0,0,BG-2100
698772,MR-2500,JT-0300,SL,10,1,1,0,
698773,MR-2500,MS-0150,SL,7,1,1,0,
698776,MR-2500,JJ-4700,SM,25,1,1,0,
698779,JW-5650,ME-0600,SR,8,1,1,0,
698783,MR-2500,DF-1875,SM,7,1,1,0,
698784,MR-2500,JJ-4700,SL,8,1,1,0,
698786,MR-2500,JJ-4700,DL,0,0,0,0,BM-1250
698792,JW-5650,ME-0600,SR,0,0,0,0,
698795,MR-2500,TC-2050,SL,21,1,1,0,
698797,MR-2500,TC-2050,SR,16,1,1,0,
698798,MR-2500,JT-0300,SM,-2,1,0,0,
698799,MR-2500,JJ-4700,SL,0,0,0,0,GM-0500
698800,MR-2500,JT-0300,SM,12,1,1,0,
698803,MR-2500,TC-2050,SR,0,0,0,0,JA-0350
698810,JW-5650,CS-1950,SR,5,1,1,0,
698815,MR-2500,JT-0300,DM,19,1,1,0,
698816,MR-2500,,NL,0,0,0,0,
698817,MR-2500,JJ-4700,SM,0,0,0,0,
698818,MR-2500,MS-0150,DL,0,0,0,0,
698819,MR-2500,JT-0300,SR,0,0,0,0,GM-0500
698823,RW-3850,DB-0500,SR,7,1,1,0,
698824,RW-3850,TL-1025,SL,6,1,1,0,
698825,RW-3850,TL-1025,SR,6,1,1,0,
698826,RW-3850,TL-1025,SR,0,0,0,0,
698827,RW-3850,TL-1025,SM,0,0,0,0,BM-0600
698829,RT-0150,JL-0215,SL,-3,1,0,0,
698831,RT-0150,JL-0215,SL,0,1,0,0,
698835,RW-3850,CM-2280,SR,0,1,0,0,
698836,RW-3850,CP-2550,SR,13,1,1,0,
698838,RW-3850,JK-0250,SL,5,1,0,0,
698839,RW-3850,LW-1450,SR,7,1,1,0,
698840,RW-3850,DB-0500,SR,14,1,1,0,
698843,RW-3850,JK-0250,SM,0,0,0,0,RJ-2000
698847,RT-0150,LC-0150,SR,2,1,0,0,
698849,RT-0150,AF-0900,SL,50,1,1,0,
698851,RT-0150,JL-0215,SR,1,1,0,0,
698852,RT-0150,JC-0400,SM,5,1,0,0,
698858,RT-0150,KS-2350,DM,0,0,0,0,
698860,RT-0150,JL-0215,SM,10,1,0,0,
698864,RW-3850,LW-1450,DR,0,0,0,0,
698867,RT-0150,KS-2350,DL,0,0,0,0,
698869,RT-0150,KS-2350,SL,0,0,0,0,DS-1730
698872,RW-3850,TL-1025,SR,0,0,0,0,
698873,RW-3850,DB-0500,SL,4,1,0,0,
698874,RW-3850,DB-0500,SM,10,1,1,0,
698877,RW-3850,TR-0112,SL,9,1,0,0,
698878,RW-3850,TL-1025,SM,0,0,0,0,
698882,RT-0150,DW-3125,SM,0,0,0,0,JR-1025
698883,RT-0150,AF-0900,SR,0,0,0,0,
698886,RW-3850,,NL,0,0,0,0,
698887,RW-3850,PR-0150,SL,0,0,0,0,
698888,RW-3850,,NL,0,0,0,0,
698890,RT-0150,JC-0400,DR,0,0,0,0,
698893,RT-0150,AF-0900,SR,6,1,0,0,
698898,RW-3850,DB-0500,SL,6,1,1,0,
698900,RW-3850,JK-0250,SM,15,1,1,0,
698901,RW-3850,DB-0500,SL,18,1,1,0,
698902,RW-3850,CM-2280,SR,5,1,1,0,
698903,RW-3850,LW-1450,SR,19,1,1,0,
698904,RW-3850,DB-0500,SL,0,0,0,0,
698909,RT-0150,AF-0900,SM,6,1,0,0,
698911,RW-3850,JK-0250,SL,7,1,1,0,
698916,RW-3850,TL-1025,SL,0,0,0,0,
698918,RT-0150,JC-0400,SR,1,1,0,0,
698920,RT-0150,JL-0215,SR,0,0,0,0,
698922,RW-3850,TR-0112,SR,11,1,1,0,
698926,RW-3850,DB-0500,SR,0,0,0,0,IA-0100
698930,RT-0150,JL-0215,SR,0,0,0,0,JL-0230
698933,RW-3850,PR-0150,SR,11,1,1,0,
698940,RT-0150,,NL,0,0,0,0,
698942,RT-0150,JL-0215,SM,14,1,1,0,
698944,RT-0150,JL-0215,SM,0,0,0,0,JR-1025
698945,RT-0150,LC-0150,SR,12,1,1,0,
698946,RT-0150,AF-0900,SL,0,0,0,0,DS-1730
698950,RW-3850,TR-0112,SR,6,1,1,0,
698952,RW-3850,JK-0250,DL,24,1,1,0,
698955,RW-3850,CM-2280,SR,0,0,0,0,
698957,RT-0150,KS-2350,DL,16,1,1,0,
698959,RT-0150,JL-0215,SL,9,1,1,0,
698960,RT-0150,JL-0215,SL,28,1,1,0,
698961,RT-0150,DW-3125,SL,29,1,1,0,
698962,RT-0150,,NL,0,0,0,0,
698966,RW-3850,LW-1450,SR,0,0,0,0,
698970,RW-3850,JK-0250,SM,6,1,1,0,
698971,RW-3850,CM-2280,SR,0,0,0,0,
698972,RW-3850,JK-0250,SM,0,0,0,0,NS-0800
698973,RW-3850,DB-0500,SL,22,1,1,0,
698975,RW-3850,JG-2900,SM,11,1,1,0,
698976,RW-3850,TL-1025,SR,5,1,1,0,
698977,RW-3850,DB-0500,SR,9,1,1,0,
698979,RW-3850,DB-0500,SL,2,1,1,0,
698982,RT-0150,KS-2350,DL,0,0,0,0,
698985,AL-1100,FG-0200,SM,6,1,1,0,
698990,AL-1100,TH-1850,SM,13,1,1,0,
698992,AL-1100,FG-0200,SL,1,1,0,0,
698993,AL-1100,RT-1950,SM,3,1,0,0,
698995,MS-4100,GT-0100,SR,11,1,1,0,
698997,MS-4100,AB-2000,SM,18,1,1,0,
698999,MS-4100,GT-0100,SR,6,1,1,0,
699000,MS-4100,MJ-2250,SL,0,0,0,0,
699002,MS-4100,TR-0370,SM,13,1,1,0,
699006,AL-1100,DM-2775,SR,0,1,0,0,
699008,AL-1100,TH-1850,SR,0,0,0,0,
699011,MS-4100,MJ-2250,SR,0,0,0,0,PR-0400
699012,MS-4100,GT-0100,SR,3,1,0,0,
699015,AL-1100,DA-0850,SR,0,0,0,0,TW-1750
699016,AL-1100,TH-1850,SL,0,0,0,0,DL-1200
699019,MS-4100,TR-0370,SL,8,1,1,0,
699022,MS-4100,MJ-2250,SM,27,1,1,0,
699023,MS-4100,MJ-2250,DL,0,0,0,0,AC-2400
699024,MS-4100,AR-1100,SM,8,1,1,0,
699025,MS-4100,AB-2000,SR,3,1,1,0,
699026,MS-4100,,NL,0,0,0,0,
699027,MS-4100,MJ-2250,DR,0,0,0,0,
699028,MS-4100,EE-0050,SR,13,1,1,0,
699030,MS-4100,TR-0370,SM,10,1,1,0,
699035,AL-1100,DM-2775,DM,19,1,1,0,
699037,AL-1100,DA-0850,SL,3,1,0,0,
699038,AL-1100,DA-0850,SL,15,1,1,0,
699040,AL-1100,TH-1850,SM,0,0,0,0,
699041,AL-1100,TH-1850,DM,17,1,0,0,
699047,MS-4100,EE-0050,SR,5,1,1,0,
699048,MS-4100,MJ-2250,DR,32,1,1,0,
699050,MS-4100,MJ-2250,SR,0,0,0,0,
699051,MS-4100,EE-0050,SL,6,1,1,0,
699054,AL-1100,DM-2775,DR,32,1,1,0,
699055,AL-1100,JF-1250,SL,14,1,1,0,
699056,AL-1100,DA-0850,SM,16,1,1,0,
699058,AL-1100,PD-0800,SR,5,1,0,0,
699059,AL-1100,TH-1850,SL,8,1,1,0,
699060,AL-1100,PD-0800,SR,0,0,0,0,
699061,AL-1100,DM-2775,SM,2,1,1,0,
699067,MS-4100,AA-0025,SL,1,1,0,0,
699069,MS-4100,MJ-2250,SL,4,1,0,0,
699070,MS-4100,GT-0100,SR,3,1,0,0,
699076,AL-1100,FG-0200,SL,0,0,0,0,
699077,AL-1100,PD-0800,DR,51,1,1,0,
699078,AL-1100,JD-2550,DR,0,0,0,0,
699079,AL-1100,,NL,0,0,0,0,
699080,AL-1100,RT-1950,SL,12,1,1,0,
699081,AL-1100,DA-0850,DR,19,1,1,0,
699089,AL-1100,DM-2775,DM,0,0,0,0,TW-1750
699090,AL-1100,TH-1850,SM,0,0,0,0,HN-0300
699091,AL-1100,PD-0800,DL,0,0,0,0,GQ-0100
699094,MS-4100,AA-0025,SL,18,1,1,0,
699096,MS-4100,GT-0100,SR,2,1,0,0,
699097,MS-4100,AA-0025,SM,13,1,1,0,
699098,MS-4100,GT-0100,SL,6,1,1,0,
699099,MS-4100,AA-0025,SL,11,1,1,0,
699103,AL-1100,DM-2775,SM,5,1,1,0,
699105,AL-1100,FG-0200,SL,8,1,1,0,
699107,AL-1100,,NL,0,0,0,0,
699108,AL-1100,TH-1850,DL,0,0,0,0,
699109,AL-1100,FG-0200,SL,4,1,0,0,
699110,AL-1100,DA-0850,DM,0,0,0,0,
699114,MS-4100,CW-1975,SR,5,1,0,0,
699115,MS-4100,MJ-2250,SM,0,0,0,0,RM-3850
699117,AL-1100,TH-1850,DR,0,0,0,0,
699119,AL-1100,JF-1250,SR,12,1,1,0,
699120,AL-1100,FG-0200,SL,0,0,0,0,AR-1115
699121,AL-1100,JD-2550,SM,13,1,1,0,
699122,AL-1100,TH-1850,DL,32,1,1,0,
699125,AL-1100,JD-2550,DR,16,1,1,0,
699129,MS-4100,GT-0100,SR,10,1,1,0,
699130,MS-4100,AA-0025,SL,14,1,1,0,
699134,MS-4100,AB-2000,SL,14,1,1,0,
699135,MS-4100,EE-0050,SR,13,1,1,0,
699136,MS-4100,TR-0370,SR,13,1,1,0,
699139,AL-1100,TH-1850,SR,9,1,1,0,
699141,AL-1100,PD-0800,DR,33,1,1,0,
699142,AL-1100,PD-0800,SL,5,1,1,0,
699144,AL-1100,TH-1850,SL,0,1,0,0,
699145,AL-1100,DM-2775,SR,6,1,1,0,
699146,AL-1100,JD-2550,SM,6,1,1,0,
699149,MS-4100,TR-0370,SM,19,1,1,0,
699150,MS-4100,EE-0050,SL,9,1,1,0,
699151,MS-4100,MJ-2250,SL,22,1,1,0,
699152,MS-4100,,NL,0,0,0,0,
699157,DP-2037,DB-5300,SR,8,1,1,0,
699159,DP-2037,JW-6000,SR,17,1,1,0,
699162,DP-2037,CB-1130,SM,6,1,1,0,
699163,DP-2037,CB-1130,SL,9,1,1,0,
699165,DP-2037,JW-6000,SR,8,1,1,0,
699167,DP-2037,CB-1130,SM,0,0,0,0,
699169,DP-2037,EE-0250,SL,1,1,0,0,
699173,EM-0200,RJ-0800,SL,3,1,0,0,
699174,EM-0200,SV-0200,SL,7,1,1,0,
699176,EM-0200,SV-0200,SR,0,0,0,0,
699177,EM-0200,OB-0075,SM,0,0,0,0,
699181,DP-2037,CB-1130,SM,9,1,1,0,
699184,DP-2037,JW-6000,SL,8,1,1,0,
699185,DP-2037,BB-4100,SL,16,1,1,0,
699187,DP-2037,JW-6000,SR,5,1,1,0,
699188,DP-2037,CB-1130,SL,9,1,1,0,
699190,DP-2037,DB-5300,DR,0,0,0,0,DR-2800
699192,DP-2037,LD-0850,SR,0,0,0,0,
699197,EM-0200,SS-1250,SR,14,1,1,0,
699198,EM-0200,OB-0075,DL,45,1,1,0,
699199,EM-0200,LD-0650,SL,15,1,1,0,
699202,DP-2037,GS-1400,DL,21,1,1,0,
699206,DP-2037,JW-6000,SM,9,1,1,0,
699208,DP-2037,DB-5300,DL,0,0,0,0,LC-0850
699211,DP-2037,JW-6000,SL,0,0,0,0,
699212,DP-2037,JW-6000,SM,8,1,0,0,
699217,EM-0200,RJ-0800,SL,0,0,0,0,
699218,EM-0200,OB-0075,SR,6,1,1,0,
699220,EM-0200,VC-0300,SL,5,1,1,0,
699221,EM-0200,WT-0600,SM,7,1,1,0,
699223,EM-0200,SV-0200,SL,6,1,0,0,
699224,EM-0200,VC-0300,DM,23,1,1,0,
699225,EM-0200,VC-0300,SM,3,1,0,0,
699226,EM-0200,WT-0600,SL,4,1,0,0,
699227,EM-0200,SS-1250,SR,9,1,1,0,
699232,EM-0200,SS-1250,SL,0,0,0,0,
699234,DP-2037,CB-1130,SM,6,1,1,0,
699235,DP-2037,CB-1130,SL,4,1,1,0,
699236,DP-2037,JW-6000,DL,0,0,0,0,
699238,DP-2037,CB-1130,SL,7,1,1,0,
699245,EM-0200,OB-0075,SR,0,0,0,0,
699248,DP-2037,TW-2270,DL,0,0,0,0,
699249,DP-2037,JW-6000,SL,1,1,0,0,
699250,DP-2037,EE-0250,SR,0,0,0,0,
699257,EM-0200,SV-0200,SL,0,0,0,0,
699261,DP-2037,TW-2270,SM,9,1,1,0,
699264,DP-2037,CB-1130,DR,0,0,0,0,
699266,DP-2037,DB-5300,DR,0,0,0,0,
699268,DP-2037,AM-2850,SR,0,0,0,0,
699271,EM-0200,OB-0075,SM,15,1,1,0,
699272,EM-0200,OB-0075,SR,7,1,1,0,
699274,EM-0200,LD-0650,SM,0,0,0,0,BJ-2350
699278,DP-2037,CB-1130,SM,0,0,0,0,
699279,DP-2037,JW-6000,SL,3,1,0,0,
699282,EM-0200,SV-0200,SL,10,1,1,0,
699283,EM-0200,SS-1250,DM,20,1,1,0,
699284,EM-0200,WT-0600,SL,5,1,1,0,
699288,EM-0200,OB-0075,SL,0,0,0,0,
699289,EM-0200,OB-0075,SL,0,0,0,0,
699290,EM-0200,VC-0300,SM,3,1,1,0,
699294,DP-2037,DB-5300,DR,0,0,0,0,DR-2800
699295,DP-2037,TW-2270,SR,11,1,1,0,
699297,DP-2037,BB-4100,DL,0,0,0,0,
699298,DP-2037,CB-1130,SR,0,0,0,0,
699299,DP-2037,JW-6000,SR,7,1,0,0,
699309,DP-2037,JW-6000,SR,0,0,0,0,
699310,DP-2037,LD-0850,SL,16,1,1,0,
699311,DP-2037,,NL,0,0,0,1,
699313,DP-2037,JW-6000,DR,0,0,0,0,
699314,DP-2037,CB-1130,SL,15,1,1,0,
699315,DP-2037,,NL,0,0,0,1,
699316,DP-2037,JW-6000,SM,0,0,0,0,
699317,DP-2037,TW-2270,SR,14,1,1,0,
699320,CP-0500,JG-3700,SL,13,1,1,0,
699321,CP-0500,MF-0950,DL,0,0,0,0,
699323,CP-0500,LF-0200,SM,11,1,0,0,
699326,JG-0650,CH-3350,SR,0,0,0,0,
699328,JG-0650,JE-0100,SL,11,1,1,0,
699330,JG-0650,JE-0100,SM,19,1,1,0,
699332,JG-0650,JE-0100,SL,8,1,1,0,
699334,JG-0650,CH-3350,DL,37,1,1,0,
699337,CP-0500,MF-0950,DL,39,1,1,0,
699339,CP-0500,DJ-1325,SR,0,0,0,0,
699340,CP-0500,JN-0625,DL,0,0,0,0,
699342,JG-0650,JW-2550,SL,21,1,1,0,
699344,JG-0650,JW-2550,SR,0,0,0,0,
699348,JG-0650,JE-0100,SR,3,1,0,0,
699350,JG-0650,JW-2550,SR,7,1,1,0,
699351,JG-0650,MM-3450,DM,0,0,0,0,
699353,JG-0650,DA-0900,SL,0,0,0,0,TB-2400
699356,CP-0500,DJ-1325,SL,26,1,1,0,
699358,CP-0500,DJ-1325,SL,8,1,1,0,
699359,CP-0500,JN-0625,SL,11,1,1,0,
699365,JG-0650,JE-0100,SR,10,1,1,0,
699366,JG-0650,MB-1800,SM,0,0,0,0,
699367,JG-0650,CH-3350,SL,19,1,1,0,
699368,JG-0650,MM-3450,SL,0,0,0,0,
699372,CP-0500,MF-0950,SR,11,1,1,0,
699376,CP-0500,LF-0200,SR,6,1,1,0,
699378,CP-0500,JG-3700,SM,9,1,1,0,
699381,CP-0500,LF-0200,SL,3,1,1,0,
699386,JG-0650,JW-2550,SL,-2,1,0,0,
699388,CP-0500,JB-6950,DL,0,0,0,0,
699389,CP-0500,LF-0200,DR,0,0,0,0,
699390,CP-0500,JB-6950,DR,0,0,0,0,JC-3518
699400,JG-0650,JG-0650,SM,3,1,0,0,
699403,JG-0650,JE-0100,SR,9,1,1,0,
699406,JG-0650,MB-1800,SR,4,1,0,0,
699407,JG-0650,MM-3450,SL,28,1,1,0,
699411,CP-0500,JG-3700,SR,4,1,1,0,
699415,CP-0500,JB-6950,DM,0,0,0,0,MB-5250
699416,CP-0500,LF-0200,SM,0,0,0,0,LR-0600
699418,JG-0650,MM-3450,SL,5,1,1,0,
699420,CP-0500,JG-3700,SR,15,1,1,0,
699421,CP-0500,DJ-1325,DR,0,0,0,0,
699422,CP-0500,LF-0200,SR,14,1,1,0,
