uid,pid,tck,value
460983,698703,RA-0675,0.5
460984,698704,CU-0050,1
460985,698705,DJ-2450,1
460986,698706,GJ-0250,0.5
460987,698706,BP-1050,0.5
460988,698710,DS-2700,1
460989,698711,KA-0625,0.5
460990,698711,CC-4000,0.5
460991,698712,KA-0625,1
460992,698713,LD-0150,1
460993,698714,DS-2700,1
460994,698717,DS-1760,1
460995,698718,SW-0700,1
460996,698719,KI-0150,1
460997,698722,BM-1250,1
460998,698723,CC-4000,1
460999,698724,BM-1250,1
461000,698725,GM-0500,1
461001,698727,CM-1600,1
461002,698731,KI-0150,1
461003,698732,DC-0325,1
461004,698733,DC-0325,1
461005,698734,KI-0150,1
461006,698737,DT-1970,1
461007,698738,DT-1970,1
461008,698744,SW-0700,0.5
461009,698744,RA-0650,0.5
461010,698745,SW-0700,1
461011,698746,RA-0650,1
461012,698750,CC-4000,0.5
461013,698750,AV-0300,0.5
461014,698751,CC-4000,1
461015,698752,KA-0625,1
461016,698754,KA-0625,1
461017,698755,LD-0150,1
461018,698756,KA-0625,0.5
461019,698756,LD-0150,0.5
461020,698758,GJ-0250,1
461021,698761,DJ-2450,1
461022,698762,RA-0675,0.5
461023,698762,KI-0150,0.5
461024,698763,RA-0675,1
461025,698764,AC-1500,1
461026,698768,BM-1250,1
461027,698770,LD-0150,1
461028,698772,KA-0625,1
461029,698773,KA-0625,1
461030,698774,JA-0350,1
461031,698775,KA-0625,1
461032,698779,RA-0675,1
461033,698780,GJ-0250,0.5
461034,698780,KI-0150,0.5
461035,698781,DJ-2450,0.5
461036,698781,KI-0150,0.5
461037,698783,LD-0150,0.5
461038,698783,CC-4000,0.5
461039,698784,CC-4000,0.5
461040,698784,VH-0050,0.5
461041,698785,CC-4000,1
461042,698787,LD-0150,1
461043,698790,JB-0200,1
461044,698791,DJ-2450,1
461045,698794,BM-1250,1
461046,698795,KA-0625,1
461047,698796,GM-0500,1
461048,698797,BM-1250,1
461049,698798,KA-0625,1
461050,698800,KT-0150,1
461051,698801,KT-0150,1
461052,698802,LD-0150,1
461053,698806,RA-0675,0.5
461054,698806,KI-0150,0.5
461055,698807,DT-1970,1
461056,698808,RA-0650,0.5
461057,698808,RA-0675,0.5
461058,698809,DS-1760,1
461059,698810,DT-1970,1
461060,698811,JB-0200,1
461061,698812,DJ-2450,1
461062,698813,DC-0325,1
461063,698815,CC-4000,1
461064,698823,XH-0100,1
461065,698824,BM-0600,1
461066,698825,XH-0100,1
461067,698829,KC-0900,1
461068,698830,KC-0900,1
461069,698831,KW-2500,0.5
461070,698831,DS-1730,0.5
461071,698834,RJ-2000,1
461072,698835,KM-2000,1
461073,698836,KA-0750,0.5
461074,698836,IA-0100,0.5
461075,698837,AB-2730,0.5
461076,698837,EM-1200,0.5
461077,698838,KA-0750,0.5
461078,698838,MT-0850,0.5
461079,698839,JJ-1620,0.5
461080,698839,XH-0100,0.5
461081,698840,XH-0100,1
461082,698841,RJ-2000,0.5
461083,698841,XH-0100,0.5
461084,698842,JW-0850,1
461085,698847,RS-1000,1
461086,698848,MB-1900,0.5
461087,698848,KW-2500,0.5
461088,698849,KW-2500,1
461089,698850,MB-1900,1
461090,698851,BW-0150,1
461091,698852,BW-0150,1
461092,698853,KC-0900,1
461093,698854,AB-2730,0.5
461094,698854,JP-2850,0.5
461095,698855,BM-0600,1
461096,698856,NS-0800,0.5
461097,698856,KM-2000,0.5
461098,698860,QJ-0150,0.5
461099,698860,ET-0200,0.5
461100,698862,MW-2300,0.5
461101,698862,XH-0100,0.5
461102,698863,JJ-1620,0.5
461103,698863,RJ-2000,0.5
461104,698865,KW-2500,1
461105,698866,BW-0150,1
461106,698868,RS-1000,1
461107,698873,RJ-2000,1
461108,698874,KA-0750,0.5
461109,698874,KM-2000,0.5
461110,698875,KM-2000,1
461111,698877,IA-0100,1
461112,698880,BW-0150,1
461113,698881,TM-1700,0.5
461114,698881,FC-0150,0.5
461115,698885,JJ-1620,0.5
461116,698885,KM-2000,0.5
461117,698891,KW-2500,0.5
461118,698891,RS-1000,0.5
461119,698893,KW-2500,0.5
461120,698893,ET-0200,0.5
461121,698895,NS-0800,0.5
461122,698895,JP-2850,0.5
461123,698897,BM-0775,0.5
461124,698897,IA-0100,0.5
461125,698898,BM-0775,1
461126,698900,XH-0100,1
461127,698901,RJ-2000,1
461128,698902,XH-0100,1
461129,698903,RJ-2000,1
461130,698909,FC-0150,0.5
461131,698909,KW-2500,0.5
461132,698911,BM-0600,1
461133,698912,IA-0100,1
461134,698913,JJ-1620,0.5
461135,698913,IA-0100,0.5
461136,698915,JW-0850,0.5
461137,698915,KA-0750,0.5
461138,698918,JL-0230,1
461139,698919,JR-1025,0.5
461140,698919,KC-0900,0.5
461141,698922,KM-2000,0.5
461142,698922,IA-0100,0.5
461143,698923,KM-2000,1
461144,698924,RJ-2000,1
461145,698925,AB-2730,0.5
461146,698925,JP-2850,0.5
461147,698927,TM-1700,0.5
461148,698927,KC-0900,0.5
461149,698928,MB-1900,0.5
461150,698928,KC-0900,0.5
461151,698929,MB-1900,0.5
461152,698929,KC-0900,0.5
461153,698932,AB-2730,0.5
461154,698932,IA-0100,0.5
461155,698933,JJ-1620,0.5
461156,698933,XH-0100,0.5
461157,698934,KM-2000,1
461158,698935,KA-0750,1
461159,698937,JJ-4300,0.5
461160,698937,JJ-1620,0.5
461161,698941,JR-1025,0.5
461162,698941,DS-1730,0.5
461163,698942,JL-0230,1
461164,698943,BW-0150,1
461165,698945,KW-2500,0.5
461166,698945,JL-0230,0.5
461167,698947,MB-1900,0.5
461168,698947,KW-2500,0.5
461169,698950,KM-2000,1
461170,698951,KA-0750,0.5
461171,698951,KM-2000,0.5
461172,698953,KA-0750,0.5
461173,698953,RJ-2000,0.5
461174,698954,RJ-2000,1
461175,698957,ET-0200,1
461176,698958,CA-1300,1
461177,698959,ET-0200,1
461178,698960,KW-2500,0.5
461179,698960,DS-1730,0.5
461180,698961,BW-0150,1
461181,698967,KA-0750,0.5
461182,698967,RJ-2000,0.5
461183,698968,KA-0750,1
461184,698969,KA-0750,1
461185,698970,KA-0750,0.5
461186,698970,RJ-2000,0.5
461187,698973,IA-0100,1
461188,698974,JJ-1620,1
461189,698975,BM-0600,1
461190,698976,XH-0100,1
461191,698977,RJ-2000,0.5
461192,698977,XH-0100,0.5
461193,698978,NS-0800,1
461194,698985,TW-1750,1
461195,698986,DT-0150,1
461196,698987,DL-1200,0.5
461197,698987,TW-1750,0.5
461198,698988,TW-0160,0.5
461199,698988,DL-1200,0.5
461200,698989,TW-1750,1
461201,698990,GQ-0100,1
461202,698992,RB-4800,1
461203,698993,HN-0300,1
461204,698995,PR-0400,0.5
461205,698995,TG-1575,0.5
461206,698996,RM-1400,1
461207,698997,MA-0200,1
461208,698998,EW-0100,0.5
461209,698998,SM-2950,0.5
461210,698999,PR-0400,1
461211,699001,DM-4015,1
461212,699002,SM-2950,1
461213,699006,DL-1200,1
461214,699007,KT-0625,0.5
461215,699007,TW-1750,0.5
461216,699010,KL-0200,0.5
461217,699010,SM-2950,0.5
461218,699012,DM-4015,1
461219,699014,TW-1750,1
461220,699018,TC-2000,1
461221,699019,JM-3775,1
461222,699020,DM-4015,1
461223,699021,JM-3775,0.5
461224,699021,TG-1575,0.5
461225,699022,MA-0200,1
461226,699024,AC-2400,1
461227,699025,DM-4015,1
461228,699028,AM-2950,1
461229,699029,TC-2000,0.5
461230,699029,MA-0200,0.5
461231,699030,TG-1575,1
461232,699031,ZK-0300,0.5
461233,699031,WG-0800,0.5
461234,699035,DS-2250,1
461235,699036,DT-0150,0.5
461236,699036,EA-0550,0.5
461237,699037,DT-0150,0.5
461238,699037,TW-0160,0.5
461239,699038,RB-4800,0.5
461240,699038,GQ-0100,0.5
461241,699041,QD-0300,1
461242,699044,MA-0200,1
461243,699045,RM-1400,1
461244,699046,PR-0400,1
461245,699047,PR-0400,1
461246,699048,PR-0400,1
461247,699049,DJ-0500,0.5
461248,699049,MA-0200,0.5
461249,699054,GQ-0100,1
461250,699055,TW-1750,1
461251,699056,TW-1750,0.5
461252,699056,RB-4800,0.5
461253,699057,EA-0550,1
461254,699059,QD-0300,1
461255,699067,SM-2950,1
461256,699069,SM-2950,1
461257,699070,SM-2950,1
461258,699072,DT-0150,1
461259,699073,DT-0150,1
461260,699074,TW-1750,1
461261,699077,DS-2250,1
461262,699080,WG-0600,1
461263,699085,HR-0100,0.5
461264,699085,SM-2950,0.5
461265,699086,EW-0100,1
461266,699093,DP-0375,1
461267,699094,MA-0200,1
461268,699095,SM-2950,1
461269,699096,SM-2950,1
461270,699097,WG-0800,1
461271,699098,DM-4015,1
461272,699102,TW-0160,1
461273,699103,NL-0250,1
461274,699104,TW-3250,1
461275,699105,DL-1200,0.5
461276,699105,QD-0300,0.5
461277,699106,TW-3250,1
461278,699109,TW-3250,1
461279,699113,AA-1900,1
461280,699114,SM-2950,1
461281,699118,NL-0250,1
461282,699119,TW-0160,1
461283,699121,QD-0300,1
461284,699122,TW-3250,1
461285,699123,KH-3100,0.5
461286,699123,HN-0300,0.5
461287,699124,TW-1750,1
461288,699128,ZK-0300,0.5
461289,699128,DJ-0500,0.5
461290,699129,RM-3850,1
461291,699130,SM-2950,1
461292,699131,MA-0200,1
461293,699132,RM-3850,1
461294,699134,MA-0200,1
461295,699135,WG-0800,1
461296,699139,QD-0300,1
461297,699140,DT-0150,1
461298,699141,QD-0300,1
461299,699142,DS-2250,1
461300,699143,TW-1750,0.5
461301,699143,NL-0250,0.5
461302,699144,DS-2250,1
461303,699145,NL-0250,1
461304,699149,SM-2950,1
461305,699150,SM-2950,1
461306,699151,AC-2400,1
461307,699156,NB-0250,1
461308,699158,JP-2900,1
461309,699159,LC-0850,1
461310,699160,JP-2900,1
461311,699161,OV-0200,1
461312,699162,LC-0850,1
461313,699163,JC-1800,1
461314,699164,DH-1850,0.5
461315,699164,JH-0840,0.5
461316,699165,NB-0250,1
461317,699166,JP-2900,1
461318,699168,DH-1850,0.5
461319,699168,JH-0840,0.5
461320,699169,JC-1800,1
461321,699172,SL-0500,1
461322,699173,BC-1200,1
461323,699174,KW-0960,1
461324,699175,AH-3350,1
461325,699179,OV-0200,1
461326,699180,JH-0840,0.5
461327,699180,JC-1800,0.5
461328,699181,EA-0575,1
461329,699182,JH-0840,1
461330,699183,JC-1800,1
461331,699184,JC-1800,1
461332,699185,EA-0575,1
461333,699186,NB-0250,1
461334,699187,JC-1800,1
461335,699188,JC-1800,0.5
461336,699188,NB-0250,0.5
461337,699189,JB-5775,1
461338,699191,OV-0200,1
461339,699196,TM-1400,1
461340,699197,OS-0200,1
461341,699202,LC-0850,1
461342,699203,JP-2900,0.5
461343,699203,JB-5775,0.5
461344,699204,KW-2800,0.5
461345,699204,DT-1225,0.5
461346,699206,KS-0800,0.5
461347,699206,KR-0950,0.5
461348,699207,DH-1850,1
461349,699209,JJ-1550,1
461350,699210,DH-1850,1
461351,699212,KR-0950,0.5
461352,699212,DT-1225,0.5
461353,699215,JW-3050,1
461354,699216,AH-3350,1
461355,699218,BC-1200,1
461356,699219,AH-3350,0.5
461357,699219,AB-3450,0.5
461358,699220,BC-0500,1
461359,699221,AH-3350,0.5
461360,699221,SL-0500,0.5
461361,699223,JC-5560,1
461362,699224,BC-0500,1
461363,699225,SL-0500,1
461364,699226,SL-0500,1
461365,699231,TM-1400,0.5
461366,699231,SL-0500,0.5
461367,699233,JH-0840,0.5
461368,699233,NB-0250,0.5
461369,699234,DR-2800,1
461370,699235,EA-0575,1
461371,699237,KS-0800,0.5
461372,699237,JC-1800,0.5
461373,699238,LC-0850,1
461374,699242,TC-2950,0.5
461375,699242,SL-0500,0.5
461376,699244,TM-1400,1
461377,699249,DT-1225,1
461378,699252,BM-0750,0.5
461379,699252,JD-3300,0.5
461380,699254,JC-5560,0.5
461381,699254,JD-3300,0.5
461382,699255,TM-1400,0.5
461383,699255,JD-3300,0.5
461384,699256,SL-0500,0.5
461385,699256,BC-1200,0.5
461386,699259,JP-2900,1
461387,699260,DK-0465,1
461388,699261,DR-2800,1
461389,699262,LC-0850,1
461390,699263,JJ-1550,1
461391,699265,LC-0850,1
461392,699267,JP-2900,0.5
461393,699267,DK-0465,0.5
461394,699271,JW-3050,1
461395,699272,OS-0200,1
461396,699273,CT-1300,1
461397,699277,DH-1850,0.5
461398,699277,JC-1800,0.5
461399,699279,EA-0575,1
461400,699282,JD-3300,1
461401,699283,BJ-2350,1
461402,699284,JD-3300,1
461403,699285,BC-1200,1
461404,699286,CT-1300,0.5
461405,699286,SL-0500,0.5
461406,699287,JC-5560,0.5
461407,699287,BC-1200,0.5
461408,699293,OV-0200,0.5
461409,699293,DK-0465,0.5
461410,699295,DR-2800,1
461411,699299,JC-1800,1
461412,699301,TC-2950,0.5
461413,699301,SL-0500,0.5
461414,699302,AH-3350,0.5
461415,699302,BC-1200,0.5
461416,699303,TM-1400,0.5
461417,699303,AH-3350,0.5
461418,699304,BC-1200,1
461419,699305,SL-0500,1
461420,699306,DI-0200,1
461421,699307,JW-3050,1
461422,699310,KR-0950,1
461423,699314,JJ-1550,1
461424,699317,DR-2800,1
461425,699319,AB-2700,1
461426,699320,DM-1300,1
461427,699322,JS-2100,1
461428,699323,LR-0600,1
461429,699327,DB-5450,1
461430,699328,TM-0850,1
461431,699330,TJ-0950,1
461432,699331,CC-0200,1
461433,699332,TJ-0950,1
461434,699333,KM-1950,1
461435,699338,MB-3875,1
461436,699342,KM-1950,1
461437,699343,DB-5450,1
461438,699346,KM-1950,1
461439,699347,TB-2400,1
461440,699348,FR-0200,0.5
461441,699348,TM-0850,0.5
461442,699349,TJ-0950,1
461443,699350,TM-0850,1
461444,699352,TJ-0950,1
461445,699356,SM-1050,1
461446,699358,TF-0750,0.5
461447,699358,PC-0300,0.5
461448,699359,MB-5250,1
461449,699360,AJ-1050,1
461450,699361,PC-0300,0.5
461451,699361,DM-1300,0.5
461452,699365,TB-2400,1
461453,699367,TM-0850,1
461454,699369,CJ-2050,1
461455,699371,LR-0600,1
461456,699372,JC-3550,0.5
461457,699372,MB-5250,0.5
461458,699373,JC-3550,1
461459,699374,CL-1400,1
461460,699375,VV-0100,1
461461,699376,PC-0300,1
461462,699377,VV-0100,1
461463,699378,SM-1050,1
461464,699379,AB-2700,0.5
461465,699379,LR-0600,0.5
461466,699380,DM-1300,1
461467,699384,TB-2400,1
461468,699385,KM-1950,1
461469,699386,TM-0850,1
461470,699392,TJ-0950,1
461471,699393,PP-0400,1
461472,699395,CJ-2050,0.5
461473,699395,KM-1950,0.5
461474,699396,CJ-2050,1
461475,699400,PP-0400,1
461476,699401,CP-1300,0.5
461477,699401,FR-0200,0.5
461478,699402,TM-0850,1
461479,699403,PP-0400,1
461480,699404,DB-5450,1
461481,699405,MG-0925,1
461482,699406,PP-0400,1
461483,699407,DS-5150,1
461484,699411,PC-0300,0.5
461485,699411,LR-0600,0.5
461486,699412,JS-2100,1
461487,699413,DM-1300,1
461488,699414,JS-2100,1
461489,699418,BW-2040,1
461490,699419,FR-0200,1
461491,699420,MB-5250,1
461492,699422,DM-1300,1
461493,699423,CL-1400,1
461494,699427,JM-1650,1
461495,699428,TM-0850,1
461496,699429,DB-5450,1
461497,699430,CC-0200,0.5
461498,699430,TJ-0950,0.5
461499,699431,TB-2400,1
461500,699432,CC-0200,1
461501,699433,KM-1950,1
461502,699435,CP-1300,0.5
461503,699435,CJ-2050,0.5
461504,699436,BW-2040,1
461505,699442,DM-1300,1
461506,699443,JC-3550,1
461507,699445,DM-1300,1
461508,699448,MB-5250,1
461509,699454,TB-2400,1
461510,699455,TJ-0950,1
461511,699456,KM-1950,1
461512,699457,TJ-0950,1
461513,699458,TJ-0950,1
461514,699460,TJ-0950,1
461515,699462,TB-2400,1
461516,699463,TB-2400,1
461517,699464,DB-5450,1
461518,699467,PC-0300,1
461519,699468,DH-1250,1
461520,699470,LR-0600,1
461521,699472,DM-1300,1
461522,699473,LR-0600,1
461523,699474,DH-2950,1
461524,699476,JS-2100,1
461525,699477,DM-1300,1
461526,699481,LT-0400,0.5
461527,699481,RC-1550,0.5
461528,699482,RS-0962,0.5
461529,699482,JJ-4250,0.5
461530,699484,MM-3800,0.5
461531,699484,SD-0250,0.5
461532,699486,CH-3100,0.5
461533,699486,ST-1150,0.5
461534,699487,CH-3100,1
461535,699489,MF-1400,1
461536,699490,WC-0300,0.5
461537,699490,JN-1750,0.5
461538,699491,WC-0300,0.5
461539,699491,SC-1725,0.5
461540,699493,JJ-4250,1
461541,699494,MM-3800,1
461542,699495,JJ-4250,0.5
461543,699495,SD-0250,0.5
461544,699497,RC-1550,1
461545,699498,LT-0400,1
461546,699503,MF-1400,1
461547,699504,CB-0200,0.5
461548,699504,DB-5100,0.5
461549,699505,JN-1750,1
461550,699508,AC-1350,1
461551,699509,RG-1250,0.5
461552,699509,RC-1550,0.5
461553,699512,RG-1250,1
461554,699516,WC-0300,1
461555,699517,DP-1268,1
461556,699518,MF-1400,0.5
461557,699518,JN-1750,0.5
461558,699519,KG-0700,0.5
461559,699519,CB-0200,0.5
461560,699520,CB-0200,0.5
461561,699520,WC-0300,0.5
461562,699521,BB-2725,0.5
461563,699521,JN-1750,0.5
461564,699522,WC-0300,0.5
461565,699522,DB-5100,0.5
461566,699524,WC-0300,0.5
461567,699524,DB-5100,0.5
461568,699528,MM-3800,1
461569,699531,LT-0400,0.5
461570,699531,JJ-4250,0.5
461571,699532,RS-0962,1
461572,699533,LT-0400,1
461573,699534,RG-1250,1
461574,699535,MF-1400,1
461575,699536,DH-0700,1
461576,699537,MF-1400,0.5
461577,699537,DH-0700,0.5
461578,699538,ZH-0200,0.5
461579,699538,BB-2725,0.5
461580,699539,MF-1400,0.5
461581,699539,PS-0550,0.5
461582,699540,DB-5100,1
461583,699541,WC-0300,1
461584,699543,SC-1725,0.5
461585,699543,JN-1750,0.5
461586,699544,BB-2725,1
461587,699545,SC-1725,1
461588,699547,WC-0300,0.5
461589,699547,DH-0700,0.5
461590,699551,RG-1250,0.5
461591,699551,MM-3800,0.5
461592,699553,WC-0300,0.5
461593,699553,BB-2725,0.5
461594,699555,BB-2725,1
461595,699556,WC-0300,1
461596,699557,DB-5100,1
461597,699558,WC-0300,1
461598,699563,JH-2100,0.5
461599,699563,WG-0500,0.5
461600,699564,LT-0400,0.5
461601,699564,JH-2100,0.5
461602,699565,RS-0962,1
461603,699567,BB-2725,1
461604,699568,DH-0700,1
461605,699569,MF-1400,1
461606,699574,LT-0400,0.5
461607,699574,RG-1250,0.5
461608,699575,JJ-4250,1
461609,699576,WG-0500,1
461610,699578,RS-0962,1
461611,699579,RC-1550,1
461612,699581,SD-0250,1
461613,699582,WG-0500,0.5
461614,699582,SD-0250,0.5
461615,699586,KR-0460,0.5
461616,699586,DB-5100,0.5
461617,699587,KR-0460,1
461618,699590,RS-0962,1
461619,699591,MM-3800,1
461620,699592,RS-0962,0.5
461621,699592,LT-0400,0.5
461622,699594,MM-3800,1
461623,699595,LF-0550,1
461624,699599,WC-0300,0.5
461625,699599,DB-5100,0.5
461626,699600,MF-1400,1
461627,699601,MF-1400,0.5
461628,699601,PS-0550,0.5
461629,699602,MF-1400,0.5
461630,699602,DP-1268,0.5
461631,699603,DB-5100,1
461632,699604,ZH-0200,0.5
461633,699604,MF-1400,0.5
461634,699605,MF-1400,1
461635,699607,SC-1725,0.5
461636,699607,JN-1750,0.5
461637,699608,PS-0550,0.5
461638,699608,DH-0700,0.5
461639,699609,MF-1400,1
461640,699610,BB-2725,1
461641,699618,JJ-4250,0.5
461642,699618,WG-0500,0.5
461643,699619,AM-2300,1
461644,699620,BB-2725,1
461645,699621,KG-0700,0.5
461646,699621,WC-0300,0.5
461647,699622,MF-1400,1
461648,699623,BB-2725,1
461649,699624,DH-0700,1
461650,699629,LT-0400,1
461651,699630,WG-0500,1
461652,699632,WG-0500,0.5
461653,699632,RG-1250,0.5
461654,699637,DB-5475,0.5
461655,699637,GH-1050,0.5
461656,699638,TC-0370,0.5
461657,699638,ER-0150,0.5
461658,699639,DB-5475,0.5
461659,699639,TB-2700,0.5
461660,699640,GH-1050,1
461661,699641,TB-2700,1
461662,699646,MB-0650,0.5
461663,699646,CS-1250,0.5
461664,699649,CS-1250,1
461665,699650,CS-1250,1
461666,699651,LJ-1800,1
461667,699653,QD-0200,1
461668,699654,MP-2550,1
461669,699657,TJ-2250,1
461670,699659,AO-0250,1
461671,699660,LJ-1800,1
461672,699661,MB-0650,1
461673,699662,AD-1475,1
461674,699664,CS-1250,1
461675,699665,LJ-1800,1
461676,699669,AB-1500,1
461677,699670,MP-2550,0.5
461678,699670,QD-0200,0.5
461679,699673,MA-0450,1
461680,699674,TM-1750,1
461681,699675,AO-0250,1
461682,699676,AO-0250,1
461683,699677,AO-0250,1
461684,699678,WH-0300,1
461685,699679,TM-1750,1
461686,699680,JW-0750,1
461687,699681,DB-5475,0.5
461688,699681,EH-0150,0.5
461689,699683,NB-0400,0.5
461690,699683,RA-1350,0.5
461691,699684,MP-2550,1
461692,699686,CS-1250,1
461693,699689,TM-1750,1
461694,699690,CS-1250,1
461695,699691,MA-0450,1
461696,699692,AD-1475,1
461697,699693,MB-0650,0.5
461698,699693,TJ-2250,0.5
461699,699697,AB-3100,1
461700,699698,AB-1500,1
461701,699699,NB-0400,1
461702,699700,QD-0200,0.5
461703,699700,NB-0400,0.5
461704,699703,LJ-1800,1
461705,699705,TJ-2250,1
461706,699706,AD-1475,1
461707,699707,LJ-1800,1
461708,699708,DE-0050,1
461709,699713,AO-0250,0.5
461710,699713,CS-1250,0.5
461711,699714,RQ-0200,1
461712,699717,RA-1350,1
461713,699723,WH-0300,1
461714,699724,CS-1250,1
461715,699725,TM-1750,1
461716,699727,NB-0400,1
461717,699728,NB-0400,1
461718,699729,AB-1500,1
461719,699732,AO-0250,1
461720,699736,JW-0750,1
461721,699739,RQ-0200,1
461722,699740,CT-0900,1
461723,699741,TM-1750,1
461724,699743,NB-0400,1
461725,699744,ER-0150,1
461726,699745,AB-1500,1
461727,699747,JT-0650,1
461728,699749,TM-1750,1
461729,699750,MB-3650,1
461730,699753,MP-2550,1
461731,699754,QD-0200,1
461732,699755,JW-0750,1
461733,699756,RA-1350,1
461734,699759,WH-0300,0.5
461735,699759,MB-3650,0.5
461736,699760,CS-1250,1
461737,699761,LJ-1800,1
461738,699765,AO-0250,1
461739,699767,AO-0250,1
461740,699768,WH-0300,1
461741,699774,NB-0400,1
461742,699777,AO-0250,1
461743,699778,AO-0250,1
461744,699780,AO-0250,1
461745,699781,DE-0050,1
461746,699782,TM-1750,1
461747,699783,TM-1750,1
461748,699784,AO-0250,1
461749,699785,WH-0300,1
461750,699787,MA-0450,1
461751,699791,RA-1350,1
461752,699792,AB-3100,0.5
461753,699792,NB-0400,0.5
461754,699793,ER-0150,1
461755,699796,DJ-1750,1
461756,699800,NB-0400,1
461757,699801,ES-0800,1
461758,699802,DE-0050,0.5
461759,699802,LJ-1800,0.5
461760,699803,EW-0550,1
461761,699808,PB-0750,0.5
461762,699808,AW-1200,0.5
461763,699809,SG-0650,1
461764,699810,JH-5900,0.5
461765,699810,PB-0750,0.5
461766,699813,AW-0550,0.5
461767,699813,LA-0200,0.5
461768,699815,LA-0200,1
461769,699816,KW-1600,0.5
461770,699816,AW-0550,0.5
461771,699818,RD-0050,1
461772,699819,ZB-0400,0.5
461773,699819,PB-0750,0.5
461774,699820,LD-0800,0.5
461775,699820,JH-5900,0.5
461776,699825,SR-0670,1
461777,699826,MW-1800,1
461778,699830,KW-1600,0.5
461779,699830,ZB-0400,0.5
461780,699831,SG-0650,1
461781,699832,ZB-0400,0.5
461782,699832,PB-0750,0.5
461783,699833,JH-5900,0.5
461784,699833,PB-0750,0.5
461785,699835,DW-3950,1
461786,699836,ZB-0400,0.5
461787,699836,PB-0750,0.5
461788,699837,LD-0800,0.5
461789,699837,AW-1200,0.5
461790,699838,ZB-0400,0.5
461791,699838,PB-0750,0.5
461792,699842,MG-0600,1
461793,699843,DR-1100,1
461794,699845,RD-0050,1
461795,699847,NR-0350,1
461796,699848,SG-0650,1
461797,699849,PB-0750,0.5
461798,699849,CG-1700,0.5
461799,699853,DR-1100,1
461800,699854,CP-2600,1
461801,699855,CP-2600,0.5
461802,699855,MG-0600,0.5
461803,699860,JJ-1600,0.5
461804,699860,LM-0550,0.5
461805,699862,DW-3950,1
461806,699863,AW-0550,0.5
461807,699863,PB-0750,0.5
461808,699864,CG-1700,1
461809,699865,SG-0650,1
461810,699867,KW-1600,0.5
461811,699867,ZB-0400,0.5
461812,699868,AW-1200,1
461813,699872,BS-2300,1
461814,699873,SR-0670,0.5
461815,699873,CP-2600,0.5
461816,699874,DH-1400,1
461817,699875,MW-1800,1
461818,699876,CP-2600,1
461819,699879,JJ-1600,0.5
461820,699879,DH-1400,0.5
461821,699880,JJ-1600,1
461822,699881,DL-0550,0.5
461823,699881,MW-2250,0.5
461824,699888,DH-1400,1
461825,699893,ZB-0400,1
461826,699894,LD-0800,0.5
461827,699894,PB-0750,0.5
461828,699895,NR-0350,1
461829,699896,AW-1200,0.5
461830,699896,CG-1700,0.5
461831,699897,PB-0750,1
461832,699902,NR-0350,1
461833,699906,LW-1350,1
461834,699910,ZB-0400,0.5
461835,699910,PB-0750,0.5
461836,699911,PB-0750,1
461837,699912,JH-5900,0.5
461838,699912,RD-0050,0.5
461839,699913,RD-0050,1
461840,699915,CG-1700,1
461841,699916,NR-0350,1
461842,699918,AW-1200,0.5
461843,699918,KS-0450,0.5
461844,699919,SG-0650,1
461845,699920,AW-1200,1
461846,699925,DH-1400,1
461847,699927,MW-1800,1
461848,699928,MW-2250,1
461849,699930,ZB-0400,1
461850,699932,ZB-0400,0.5
461851,699932,SG-0650,0.5
461852,699933,RD-0050,1
461853,699934,KW-1600,1
461854,699935,ZB-0400,1
461855,699936,LD-0800,0.5
461856,699936,PB-0750,0.5
461857,699939,MG-0600,1
461858,699940,LW-1350,1
461859,699941,DL-0550,1
461860,699943,LW-1350,1
461861,699944,SR-0670,0.5
461862,699944,DL-0550,0.5
461863,699945,ZB-0400,0.5
461864,699945,PB-0750,0.5
461865,699946,NR-0350,1
461866,699947,KW-1600,0.5
461867,699947,PB-0750,0.5
461868,699948,JW-6530,0.5
461869,699948,CB-4770,0.5
461870,699952,SR-0670,1
461871,699954,MW-2250,1
461872,699955,DL-0550,1
